,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
0,1,10,0.001,"[[0.7078651685393258, 0.5666666626930237, 124, 120], [0.7547169811320755, 0.7833333611488342, 244, 120], [0.8872180451127819, 0.875, 364, 120], [0.8319999999999999, 0.824999988079071, 484, 120], [0.9272727272727272, 0.9333333373069763, 604, 120]]",0.821814584411382,0.7966666698455811
1,1,10,0.005,"[[0.8833333333333334, 0.8833333253860474, 124, 120], [0.712871287128713, 0.7583333253860474, 244, 120], [0.9586776859504132, 0.9583333134651184, 364, 120], [0.8666666666666667, 0.8666666746139526, 484, 120], [0.9724770642201834, 0.9750000238418579, 604, 120]]",0.8788052074598619,0.8883333325386047
2,1,10,0.01,"[[0.8521739130434781, 0.8583333492279053, 124, 120], [0.8666666666666666, 0.8333333134651184, 244, 120], [0.9007633587786259, 0.8916666507720947, 364, 120], [0.9107142857142856, 0.9166666865348816, 484, 120], [0.7499999999999999, 0.8166666626930237, 604, 120]]",0.8560636448406113,0.8633333325386048
3,1,30,0.001,"[[0.72, 0.5916666388511658, 124, 120], [0.8951048951048951, 0.875, 244, 120], [0.9007633587786259, 0.8916666507720947, 364, 120], [0.8828828828828829, 0.8916666507720947, 484, 120], [0.9310344827586207, 0.9333333373069763, 604, 120]]",0.8659571239050049,0.8366666555404663
4,1,30,0.005,"[[0.8450704225352113, 0.8166666626930237, 124, 120], [0.8666666666666666, 0.8333333134651184, 244, 120], [0.9007633587786259, 0.8916666507720947, 364, 120], [0.9272727272727272, 0.9333333373069763, 484, 120], [0.7640449438202247, 0.824999988079071, 604, 120]]",0.8607636238146912,0.8599999904632568
5,1,30,0.01,"[[0.8104575163398694, 0.7583333253860474, 124, 120], [0.8596491228070176, 0.8666666746139526, 244, 120], [0.7835051546391751, 0.824999988079071, 364, 120], [0.9142857142857143, 0.925000011920929, 484, 120], [0.8270676691729323, 0.8083333373069763, 604, 120]]",0.8389930354489417,0.8366666674613953
6,1,50,0.001,"[[0.7295597484276729, 0.6416666507720947, 124, 120], [0.8951048951048951, 0.875, 244, 120], [0.9291338582677166, 0.925000011920929, 364, 120], [0.8666666666666667, 0.8666666746139526, 484, 120], [0.9464285714285715, 0.949999988079071, 604, 120]]",0.8733787479791045,0.8516666650772095
7,1,50,0.005,"[[0.789808917197452, 0.7250000238418579, 124, 120], [0.8951048951048951, 0.875, 244, 120], [0.8543689320388349, 0.875, 364, 120], [0.8455284552845528, 0.8416666388511658, 484, 120], [0.9482758620689655, 0.949999988079071, 604, 120]]",0.86661741233894,0.8533333301544189
8,1,50,0.01,"[[0.8531468531468531, 0.824999988079071, 124, 120], [0.9343065693430657, 0.925000011920929, 244, 120], [0.8939393939393939, 0.8833333253860474, 364, 120], [0.8947368421052632, 0.8999999761581421, 484, 120], [0.8043478260869564, 0.8500000238418579, 604, 120]]",0.8760954969243064,0.8766666650772095
9,1,70,0.001,"[[0.7607361963190183, 0.675000011920929, 124, 120], [0.907563025210084, 0.9083333611488342, 244, 120], [0.921875, 0.9166666865348816, 364, 120], [0.8253968253968254, 0.8166666626930237, 484, 120], [0.7638888888888888, 0.7166666388511658, 604, 120]]",0.8358919871629634,0.8066666722297668
10,1,70,0.005,"[[0.8448275862068966, 0.8500000238418579, 124, 120], [0.9600000000000001, 0.9583333134651184, 244, 120], [0.8082191780821918, 0.7666666507720947, 364, 120], [0.8813559322033898, 0.8833333253860474, 484, 120], [0.9166666666666666, 0.9166666865348816, 604, 120]]",0.8822138726318289,0.875
11,1,70,0.01,"[[0.8923076923076922, 0.8833333253860474, 124, 120], [0.8496732026143791, 0.8083333373069763, 244, 120], [0.611764705882353, 0.7250000238418579, 364, 120], [0.8142857142857143, 0.7833333611488342, 484, 120], [0.6586826347305389, 0.5249999761581421, 604, 120]]",0.7653427899641356,0.7450000047683716
12,2,10,0.001,"[[0.7039106145251397, 0.5583333373069763, 124, 120], [0.888888888888889, 0.8666666746139526, 244, 120], [0.9007633587786259, 0.8916666507720947, 364, 120], [0.8479999999999999, 0.8416666388511658, 484, 120], [0.8172043010752689, 0.8583333492279053, 604, 120]]",0.8317534326535846,0.803333330154419
13,2,10,0.005,"[[0.8571428571428571, 0.8500000238418579, 124, 120], [0.8907563025210083, 0.8916666507720947, 244, 120], [0.921875, 0.9166666865348816, 364, 120], [0.918918918918919, 0.925000011920929, 484, 120], [0.7857142857142858, 0.75, 604, 120]]",0.8748814728594141,0.8666666746139526
14,2,10,0.01,"[[0.8531468531468531, 0.824999988079071, 124, 120], [0.7735849056603773, 0.800000011920929, 244, 120], [0.921875, 0.9166666865348816, 364, 120], [0.7702702702702703, 0.7166666388511658, 484, 120], [0.6746987951807228, 0.7749999761581421, 604, 120]]",0.7987151648516446,0.8066666603088379
15,2,30,0.001,"[[0.8595041322314049, 0.8583333492279053, 124, 120], [0.927536231884058, 0.9166666865348816, 244, 120], [0.9491525423728814, 0.949999988079071, 364, 120], [0.8869565217391304, 0.8916666507720947, 484, 120], [0.9642857142857142, 0.9666666388511658, 604, 120]]",0.9174870285026377,0.9166666626930237
16,2,30,0.005,"[[0.8854961832061068, 0.875, 124, 120], [0.9014084507042254, 0.8833333253860474, 244, 120], [0.8194444444444444, 0.7833333611488342, 364, 120], [0.905982905982906, 0.9083333611488342, 484, 120], [0.8088235294117647, 0.7833333611488342, 604, 120]]",0.8642311027498895,0.84666668176651
17,2,30,0.01,"[[0.8571428571428571, 0.8333333134651184, 124, 120], [0.6021505376344086, 0.6916666626930237, 244, 120], [0.9666666666666667, 0.9666666388511658, 364, 120], [0.8947368421052632, 0.8999999761581421, 484, 120], [0.7586206896551725, 0.7083333134651184, 604, 120]]",0.8158635186408736,0.8199999809265137
