,Unnamed: 0,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
0,0.0,1,10,0.001,"[[0.6834733893557422, 0.5191489458084106, 237, 235], [0.7104247104247104, 0.6808510422706604, 472, 235], [0.7799227799227799, 0.757446825504303, 707, 235], [0.8527131782945736, 0.8382978439331055, 942, 235], [0.9040000000000001, 0.8978723287582397, 1177, 235]]",0.7861068115995613,0.7387233972549438
1,1.0,1,10,0.005,"[[0.7333333333333333, 0.6255319118499756, 237, 235], [0.761904761904762, 0.8085106611251831, 472, 235], [0.822742474916388, 0.7744680643081665, 707, 235], [0.9485294117647058, 0.9404255151748657, 942, 235], [0.9243027888446216, 0.9191489219665527, 1177, 235]]",0.8381625541527621,0.8136170148849488
2,2.0,1,10,0.01,"[[0.7031700288184439, 0.5617021322250366, 237, 235], [0.8957528957528959, 0.8851063847541809, 472, 235], [0.825503355704698, 0.778723418712616, 707, 235], [0.9444444444444444, 0.9319148659706116, 942, 235], [0.924901185770751, 0.9191489219665527, 1177, 235]]",0.8587543820982466,0.8153191447257996
3,3.0,1,30,0.001,"[[0.6834733893557422, 0.5191489458084106, 237, 235], [0.7356321839080459, 0.7063829898834229, 472, 235], [0.8379446640316206, 0.8255318999290466, 707, 235], [0.9097222222222222, 0.8893616795539856, 942, 235], [0.926605504587156, 0.9319148659706116, 1177, 235]]",0.8186755928209575,0.7744680762290954
4,4.0,1,30,0.005,"[[0.7423312883435583, 0.6425532102584839, 237, 235], [0.8830188679245283, 0.8680850863456726, 472, 235], [0.822742474916388, 0.7744680643081665, 707, 235], [0.9403508771929825, 0.9276595711708069, 942, 235], [0.9243027888446216, 0.9191489219665527, 1177, 235]]",0.8625492594444157,0.8263829708099365
5,5.0,1,30,0.01,"[[0.7766990291262135, 0.7063829898834229, 237, 235], [0.9272727272727274, 0.9319148659706116, 472, 235], [0.9310344827586207, 0.9319148659706116, 707, 235], [0.892733564013841, 0.8680850863456726, 942, 235], [0.8509090909090908, 0.8255318999290466, 1177, 235]]",0.8757297788160987,0.8527659416198731
6,6.0,1,50,0.001,"[[0.6834733893557422, 0.5191489458084106, 237, 235], [0.7619047619047619, 0.7446808218955994, 472, 235], [0.815450643776824, 0.8170212507247925, 707, 235], [0.9398496240601504, 0.9319148659706116, 942, 235], [0.9702127659574468, 0.9702127575874329, 1177, 235]]",0.834178237010985,0.7965957283973694
7,7.0,1,50,0.005,"[[0.7113702623906706, 0.5787234306335449, 237, 235], [0.9617021276595744, 0.9617021083831787, 472, 235], [0.9104477611940299, 0.8978723287582397, 707, 235], [0.9428571428571428, 0.9319148659706116, 942, 235], [0.9696969696969696, 0.9702127575874329, 1177, 235]]",0.8992148527596775,0.8680850982666015
8,8.0,1,50,0.01,"[[0.7134502923976608, 0.5829787254333496, 237, 235], [0.9274193548387097, 0.9234042763710022, 472, 235], [0.8611111111111112, 0.8723404407501221, 707, 235], [0.8815789473684211, 0.8468084931373596, 942, 235], [0.9745762711864406, 0.9744681119918823, 1177, 235]]",0.8716271953804687,0.8400000095367431
9,9.0,1,70,0.001,"[[0.6931818181818182, 0.5404255390167236, 237, 235], [0.7336683417085427, 0.7744680643081665, 472, 235], [0.8311688311688312, 0.8340425491333008, 707, 235], [0.9485294117647058, 0.9404255151748657, 942, 235], [0.9515418502202644, 0.9531915187835693, 1177, 235]]",0.8316180506088324,0.8085106372833252
