,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
0,1,10,0.001,"[[0.6384039900249376, 0.46886447072029114, 278, 273], [0.5784313725490197, 0.6849817037582397, 551, 273], [0.8641975308641976, 0.8388278484344482, 824, 273], [0.9437500000000001, 0.9340659379959106, 1097, 273], [0.9530685920577618, 0.9523809552192688, 1370, 273]]",0.7955702970991834,0.7758241832256317
1,1,10,0.005,"[[0.6956521739130436, 0.5897436141967773, 278, 273], [0.8535825545171339, 0.8278388381004333, 551, 273], [0.8326848249027238, 0.8424908518791199, 824, 273], [0.9659442724458205, 0.9597069621086121, 1097, 273], [0.9675090252707581, 0.9670329689979553, 1370, 273]]",0.863074570209896,0.8373626470565796
2,1,10,0.01,"[[0.8949416342412452, 0.901098906993866, 278, 273], [0.9220338983050848, 0.9157509207725525, 551, 273], [0.8142292490118578, 0.8278388381004333, 824, 273], [0.9648562300319489, 0.9597069621086121, 1097, 273], [0.9588014981273408, 0.9597069621086121, 1370, 273]]",0.9109725019434954,0.9128205180168152
3,1,30,0.001,"[[0.6513994910941476, 0.4981684982776642, 278, 273], [0.6698564593301435, 0.7472527623176575, 551, 273], [0.8473282442748092, 0.8534798622131348, 824, 273], [0.9512195121951219, 0.9413919448852539, 1097, 273], [0.9675090252707581, 0.9670329689979553, 1370, 273]]",0.817462546432996,0.8014652073383332
4,1,30,0.005,"[[0.5116279069767442, 0.692307710647583, 278, 273], [0.6889952153110048, 0.761904776096344, 551, 273], [0.9487179487179487, 0.9413919448852539, 824, 273], [0.950920245398773, 0.9413919448852539, 1097, 273], [0.9379310344827586, 0.9340659379959106, 1370, 273]]",0.8076384701774458,0.8542124629020691
5,1,30,0.01,"[[0.9077490774907749, 0.9084249138832092, 278, 273], [0.8583333333333333, 0.8754578828811646, 551, 273], [0.9328621908127207, 0.930402934551239, 824, 273], [0.9570552147239264, 0.9487179517745972, 1097, 273], [0.9215017064846417, 0.9157509207725525, 1370, 273]]",0.9155003045690794,0.9157509207725525
6,1,50,0.001,"[[0.6547314578005116, 0.5054945349693298, 278, 273], [0.7949790794979081, 0.8205128312110901, 551, 273], [0.828125, 0.8388278484344482, 824, 273], [0.9622641509433963, 0.9560439586639404, 1097, 273], [0.9675090252707581, 0.9670329689979553, 1370, 273]]",0.8415217427025148,0.8175824284553528
7,1,50,0.005,"[[0.8338762214983713, 0.8131868243217468, 278, 273], [0.9124087591240876, 0.9120879173278809, 551, 273], [0.6363636363636364, 0.7069597244262695, 824, 273], [0.967948717948718, 0.9633699655532837, 1097, 273], [0.8389830508474576, 0.860805869102478, 1370, 273]]",0.8379160771564542,0.8512820601463318
8,1,50,0.01,"[[0.7757575757575758, 0.7289377450942993, 278, 273], [0.8802588996763754, 0.8644688725471497, 551, 273], [0.9090909090909091, 0.8901098966598511, 824, 273], [0.967948717948718, 0.9633699655532837, 1097, 273], [0.9642857142857144, 0.9633699655532837, 1370, 273]]",0.8994683633518585,0.8820512890815735
9,1,70,0.001,"[[0.6632124352331606, 0.523809552192688, 278, 273], [0.6794258373205743, 0.7545787692070007, 551, 273], [0.8849557522123894, 0.8571428656578064, 824, 273], [0.9512195121951219, 0.9413919448852539, 1097, 273], [0.9389312977099237, 0.9413919448852539, 1370, 273]]",0.823548966934234,0.8036630153656006
