,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
0,1,10,0.001,"[[0.8464419475655431, 0.8209607005119324, 231, 229], [0.9121338912133892, 0.9082969427108765, 460, 229], [0.88, 0.8820960521697998, 689, 229], [0.9137931034482758, 0.9126637578010559, 918, 229], [0.95, 0.9475982785224915, 1147, 229]]",0.9004737884454416,0.8943231463432312
1,1,10,0.005,"[[0.8913857677902621, 0.8733624219894409, 231, 229], [0.8906249999999999, 0.8777292370796204, 460, 229], [0.8041237113402061, 0.751091718673706, 689, 229], [0.7119741100323624, 0.6113536953926086, 918, 229], [0.8394160583941604, 0.807860255241394, 1147, 229]]",0.8275049295113982,0.784279465675354
2,1,10,0.01,"[[0.7599999999999999, 0.7903929948806763, 231, 229], [0.940677966101695, 0.9388646483421326, 460, 229], [0.23703703703703705, 0.5502183437347412, 689, 229], [0.7124183006535949, 0.6157205104827881, 918, 229], [0.8550185873605949, 0.8296943306922913, 1147, 229]]",0.7010303782305843,0.7449781656265259
3,1,30,0.001,"[[0.8870967741935484, 0.8777292370796204, 231, 229], [0.9203539823008849, 0.9213973879814148, 460, 229], [0.8405797101449274, 0.807860255241394, 689, 229], [0.7081967213114755, 0.6113536953926086, 918, 229], [0.8424908424908425, 0.8122270703315735, 1147, 229]]",0.8397436060883358,0.8061135292053223
4,1,30,0.005,"[[0.7864077669902912, 0.807860255241394, 231, 229], [0.9140271493212669, 0.9170305728912354, 460, 229], [0.7234042553191489, 0.6026200652122498, 689, 229], [0.6984126984126985, 0.5851528644561768, 918, 229], [0.8614232209737828, 0.8384279608726501, 1147, 229]]",0.7967350182034376,0.7502183437347412
5,1,30,0.01,"[[0.8425925925925926, 0.8515284061431885, 231, 229], [0.9446808510638298, 0.943231463432312, 460, 229], [0.8096885813148789, 0.7598253488540649, 689, 229], [0.7303370786516855, 0.7903929948806763, 918, 229], [0.7682119205298014, 0.6943231225013733, 1147, 229]]",0.8191022048305576,0.807860267162323
6,1,50,0.001,"[[0.9133858267716536, 0.903930127620697, 231, 229], [0.9478260869565217, 0.9475982785224915, 460, 229], [0.7539936102236421, 0.663755476474762, 689, 229], [0.8470588235294119, 0.8296943306922913, 918, 229], [0.9473684210526316, 0.9475982785224915, 1147, 229]]",0.8819265537067722,0.8585152983665466
7,1,50,0.005,"[[0.8038277511961722, 0.8209607005119324, 231, 229], [0.9149797570850202, 0.9082969427108765, 460, 229], [0.7125748502994012, 0.5807860493659973, 689, 229], [0.8089887640449438, 0.7772925496101379, 918, 229], [0.95, 0.9475982785224915, 1147, 229]]",0.8380742245251076,0.8069869041442871
8,1,50,0.01,"[[0.9338842975206612, 0.9301310181617737, 231, 229], [0.9149797570850202, 0.9082969427108765, 460, 229], [0.8153310104529617, 0.7685589790344238, 689, 229], [0.6428571428571428, 0.7379912734031677, 918, 229], [0.7111111111111111, 0.7729257345199585, 1147, 229]]",0.8036326638053793,0.8235807895660401
9,1,70,0.001,"[[0.9016393442622952, 0.8951964974403381, 231, 229], [0.940677966101695, 0.9388646483421326, 460, 229], [0.8041237113402061, 0.751091718673706, 689, 229], [0.6424242424242425, 0.7423580884933472, 918, 229], [0.5499999999999999, 0.6855894923210144, 1147, 229]]",0.7677730528256876,0.8026200890541076
10,1,70,0.005,"[[0.820754716981132, 0.8340611457824707, 231, 229], [0.9149797570850202, 0.9082969427108765, 460, 229], [0.8509090909090908, 0.8209607005119324, 689, 229], [0.7340067340067341, 0.6550218462944031, 918, 229], [0.6511627906976745, 0.7379912734031677, 1147, 229]]",0.7943626179359302,0.7912663817405701
11,1,70,0.01,"[[0.8872727272727273, 0.864628791809082, 231, 229], [0.8981481481481481, 0.903930127620697, 460, 229], [0.7866666666666667, 0.72052401304245, 689, 229], [0.7650273224043717, 0.8122270703315735, 918, 229], [0.7094801223241591, 0.5851528644561768, 1147, 229]]",0.8093189973632147,0.7772925734519959
12,2,10,0.001,"[[0.871369294605809, 0.864628791809082, 231, 229], [0.940677966101695, 0.9388646483421326, 460, 229], [0.8634686346863469, 0.8384279608726501, 689, 229], [0.897196261682243, 0.903930127620697, 918, 229], [0.9321266968325793, 0.9344978332519531, 1147, 229]]",0.9009677707817346,0.896069872379303
