,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
0,1,10,0.001,"[[0.6267281105990783, 0.7032967209815979, 278, 273], [0.8735632183908046, 0.8791208863258362, 551, 273], [0.9134948096885814, 0.9084249138832092, 824, 273], [0.7745664739884393, 0.7142857313156128, 1097, 273], [0.891566265060241, 0.901098906993866, 1370, 273]]",0.8159837755454289,0.8212454319000244
1,1,10,0.005,"[[0.7074235807860263, 0.7545787692070007, 278, 273], [0.8914728682170544, 0.8974359035491943, 551, 273], [0.9261744966442954, 0.9194139242172241, 824, 273], [0.9014084507042254, 0.8974359035491943, 1097, 273], [0.8108108108108107, 0.8461538553237915, 1370, 273]]",0.8474580414324825,0.863003671169281
2,1,10,0.01,"[[0.8104089219330856, 0.8131868243217468, 278, 273], [0.7047619047619047, 0.7728937864303589, 551, 273], [0.9219858156028368, 0.9194139242172241, 824, 273], [0.7403314917127072, 0.6556776762008667, 1097, 273], [0.21917808219178084, 0.5824176073074341, 1370, 273]]",0.679333243240463,0.7487179636955261
3,1,30,0.001,"[[0.6755555555555556, 0.732600748538971, 278, 273], [0.8536585365853658, 0.8681318759918213, 551, 273], [0.8853503184713375, 0.8681318759918213, 824, 273], [0.7465181058495822, 0.6666666865348816, 1097, 273], [0.4588235294117647, 0.66300368309021, 1370, 273]]",0.7239812091747211,0.759706974029541
4,1,30,0.005,"[[0.6880733944954128, 0.7509157657623291, 278, 273], [0.8968253968253967, 0.9047619104385376, 551, 273], [0.6697247706422018, 0.7362637519836426, 824, 273], [0.36585365853658536, 0.6190476417541504, 1097, 273], [0.7127071823204421, 0.6190476417541504, 1370, 273]]",0.6666368805640077,0.726007342338562
5,1,30,0.01,"[[0.7883817427385892, 0.8131868243217468, 278, 273], [0.8976377952755905, 0.9047619104385376, 551, 273], [0.6727272727272727, 0.7362637519836426, 824, 273], [0.6683291770573566, 0.5128205418586731, 1097, 273], [0.4216867469879517, 0.6483516693115234, 1370, 273]]",0.6897525469573522,0.7230769395828247
6,1,50,0.001,"[[0.6726457399103138, 0.732600748538971, 278, 273], [0.8790322580645162, 0.8901098966598511, 551, 273], [0.9283276450511946, 0.9230769276618958, 824, 273], [0.8939393939393939, 0.8974359035491943, 1097, 273], [0.7202216066481995, 0.6300366520881653, 1370, 273]]",0.8188333287227236,0.8146520256996155
7,1,50,0.005,"[[0.8208955223880597, 0.8241758346557617, 278, 273], [0.8914728682170544, 0.8974359035491943, 551, 273], [0.904109589041096, 0.8974359035491943, 824, 273], [0.7465181058495822, 0.6666666865348816, 1097, 273], [0.7303370786516854, 0.6483516693115234, 1370, 273]]",0.8186666328294956,0.7868131995201111
8,1,50,0.01,"[[0.7232142857142857, 0.7728937864303589, 278, 273], [0.8755020080321286, 0.8864468932151794, 551, 273], [0.864353312302839, 0.8424908518791199, 824, 273], [0.7893175074183976, 0.7399267554283142, 1097, 273], [0.894308943089431, 0.9047619104385376, 1370, 273]]",0.8293392113114164,0.829304039478302
9,1,70,0.001,"[[0.6545454545454545, 0.721611738204956, 278, 273], [0.8931297709923663, 0.8974359035491943, 551, 273], [0.8814814814814815, 0.8827838897705078, 824, 273], [0.8173913043478261, 0.8461538553237915, 1097, 273], [0.5197740112994351, 0.6886447072029114, 1370, 273]]",0.7532644045333128,0.8073260188102722
