,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
0,1,10,0.001,"[[0.6885245901639345, 0.5249999761581421, 124, 120], [0.787878787878788, 0.7666666507720947, 244, 120], [0.8976377952755905, 0.8916666507720947, 364, 120], [0.7466666666666668, 0.6833333373069763, 484, 120], [0.7746478873239436, 0.7333333492279053, 604, 120]]",0.7790711454617847,0.7199999928474426
1,1,10,0.005,"[[0.8211920529801324, 0.7749999761581421, 124, 120], [0.9375, 0.9333333373069763, 244, 120], [0.9279999999999999, 0.925000011920929, 364, 120], [0.8712871287128713, 0.8916666507720947, 484, 120], [0.8029197080291971, 0.7749999761581421, 604, 120]]",0.8721797779444401,0.8599999904632568
2,1,10,0.01,"[[0.8266666666666668, 0.7833333611488342, 124, 120], [0.9078014184397163, 0.8916666507720947, 244, 120], [0.9147286821705426, 0.9083333611488342, 364, 120], [0.8244274809160306, 0.8083333373069763, 484, 120], [0.9636363636363636, 0.9666666388511658, 604, 120]]",0.887452122365864,0.871666669845581
3,1,30,0.001,"[[0.7241379310344828, 0.6000000238418579, 124, 120], [0.8750000000000001, 0.8500000238418579, 244, 120], [0.8489208633093526, 0.824999988079071, 364, 120], [0.7878787878787878, 0.7666666507720947, 484, 120], [0.9369369369369368, 0.9416666626930237, 604, 120]]",0.8345749038319121,0.7966666698455811
4,1,30,0.005,"[[0.8547008547008547, 0.8583333492279053, 124, 120], [0.8533333333333333, 0.8166666626930237, 244, 120], [0.9516129032258065, 0.949999988079071, 364, 120], [0.9245283018867925, 0.9333333373069763, 484, 120], [0.9433962264150944, 0.949999988079071, 604, 120]]",0.9055143239123762,0.9016666650772095
5,1,30,0.01,"[[0.8676470588235294, 0.8500000238418579, 124, 120], [0.8793103448275863, 0.8833333253860474, 244, 120], [0.8251748251748251, 0.7916666865348816, 364, 120], [0.8932038834951457, 0.9083333611488342, 484, 120], [0.7801418439716312, 0.7416666746139526, 604, 120]]",0.8490955912585434,0.8350000143051147
6,1,50,0.001,"[[0.72, 0.5916666388511658, 124, 120], [0.8258064516129032, 0.7749999761581421, 244, 120], [0.8027210884353742, 0.7583333253860474, 364, 120], [0.8928571428571428, 0.8999999761581421, 484, 120], [0.9433962264150944, 0.949999988079071, 604, 120]]",0.8369561818641029,0.7949999809265137
7,1,50,0.005,"[[0.8391608391608391, 0.8083333373069763, 124, 120], [0.9523809523809524, 0.949999988079071, 244, 120], [0.9147286821705426, 0.9083333611488342, 364, 120], [0.8253968253968254, 0.8166666626930237, 484, 120], [0.8172043010752689, 0.8583333492279053, 604, 120]]",0.8697743200368857,0.8683333396911621
8,1,50,0.01,"[[0.8709677419354839, 0.8666666746139526, 124, 120], [0.8181818181818181, 0.8333333134651184, 244, 120], [0.9661016949152542, 0.9666666388511658, 364, 120], [0.8253968253968254, 0.8166666626930237, 484, 120], [0.9719626168224299, 0.9750000238418579, 604, 120]]",0.8905221394503624,0.8916666626930236
9,1,70,0.001,"[[0.7577639751552796, 0.675000011920929, 124, 120], [0.9185185185185185, 0.9083333611488342, 244, 120], [0.8613138686131386, 0.8416666388511658, 364, 120], [0.7851851851851852, 0.7583333253860474, 484, 120], [0.7142857142857143, 0.6333333253860474, 604, 120]]",0.8074134523515673,0.7633333325386047
10,1,70,0.005,"[[0.8211920529801324, 0.7749999761581421, 124, 120], [0.8793103448275863, 0.8833333253860474, 244, 120], [0.9298245614035089, 0.9333333373069763, 364, 120], [0.8088235294117647, 0.7833333611488342, 484, 120], [0.9629629629629629, 0.9666666388511658, 604, 120]]",0.880422690317191,0.8683333277702332
11,1,70,0.01,"[[0.8472222222222222, 0.8166666626930237, 124, 120], [0.8073394495412844, 0.824999988079071, 244, 120], [0.8740740740740741, 0.8583333492279053, 364, 120], [0.6744186046511628, 0.7666666507720947, 484, 120], [0.9557522123893805, 0.9583333134651184, 604, 120]]",0.8317613125756248,0.8449999928474426
12,2,10,0.001,"[[0.6885245901639345, 0.5249999761581421, 124, 120], [0.8970588235294118, 0.8833333253860474, 244, 120], [0.8368794326241135, 0.8083333373069763, 364, 120], [0.7969924812030075, 0.7749999761581421, 484, 120], [0.8270676691729323, 0.8083333373069763, 604, 120]]",0.80930459933868,0.7599999904632568
13,2,10,0.005,"[[0.8489208633093525, 0.824999988079071, 124, 120], [0.686868686868687, 0.7416666746139526, 244, 120], [0.9007633587786259, 0.8916666507720947, 364, 120], [0.6744186046511628, 0.7666666507720947, 484, 120], [0.9322033898305084, 0.9333333373069763, 604, 120]]",0.8086349806876673,0.8316666603088378
14,2,10,0.01,"[[0.8760330578512397, 0.875, 124, 120], [0.8125000000000001, 0.75, 244, 120], [0.8805970149253731, 0.8666666746139526, 364, 120], [0.8125000000000001, 0.8500000238418579, 484, 120], [0.9908256880733944, 0.9916666746139526, 604, 120]]",0.8744911521700015,0.8666666746139526
15,2,30,0.001,"[[0.8333333333333334, 0.8166666626930237, 124, 120], [0.896551724137931, 0.875, 244, 120], [0.8461538461538463, 0.8666666746139526, 364, 120], [0.8057553956834532, 0.7749999761581421, 484, 120], [0.865979381443299, 0.8916666507720947, 604, 120]]",0.8495547361503725,0.8449999928474426
