,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
0,1,10,0.001,"[[0.6834733893557422, 0.5191489458084106, 237, 235], [0.6752136752136753, 0.6765957474708557, 472, 235], [0.7619047619047619, 0.7234042286872864, 707, 235], [0.8300395256916997, 0.8170212507247925, 942, 235], [0.8512396694214877, 0.8468084931373596, 1177, 235]]",0.7603742043174734,0.716595733165741
1,1,10,0.005,"[[0.6873239436619719, 0.5276595950126648, 237, 235], [0.7517241379310344, 0.693617045879364, 472, 235], [0.8, 0.8127659559249878, 707, 235], [0.9111969111969112, 0.9021276831626892, 942, 235], [0.9469387755102041, 0.9446808695793152, 1177, 235]]",0.8194367536600243,0.7761702299118042
2,1,10,0.01,"[[0.7011494252873562, 0.5574468374252319, 237, 235], [0.7748691099476439, 0.8170212507247925, 472, 235], [0.9359999999999999, 0.9319148659706116, 707, 235], [0.9315068493150686, 0.914893627166748, 942, 235], [0.91699604743083, 0.9106382727622986, 1177, 235]]",0.8521042863961797,0.8263829708099365
3,1,30,0.001,"[[0.6834733893557422, 0.5191489458084106, 237, 235], [0.6941580756013745, 0.6212766170501709, 472, 235], [0.76, 0.7446808218955994, 707, 235], [0.8470588235294116, 0.8340425491333008, 942, 235], [0.8058252427184467, 0.8297872543334961, 1177, 235]]",0.7581031062409951,0.7097872376441956
4,1,30,0.005,"[[0.7458745874587458, 0.672340452671051, 237, 235], [0.7499999999999999, 0.6680850982666016, 472, 235], [0.8736462093862816, 0.8510638475418091, 707, 235], [0.9469964664310954, 0.936170220375061, 942, 235], [0.9663865546218487, 0.9659574627876282, 1177, 235]]",0.8565807635795943,0.8187234163284302
5,1,30,0.01,"[[0.7662337662337663, 0.693617045879364, 237, 235], [0.9156626506024097, 0.9106382727622986, 472, 235], [0.9547325102880659, 0.9531915187835693, 707, 235], [0.943661971830986, 0.9319148659706116, 942, 235], [0.9206349206349208, 0.914893627166748, 1177, 235]]",0.9001851639180296,0.8808510661125183
6,1,50,0.001,"[[0.6834733893557422, 0.5191489458084106, 237, 235], [0.7219917012448134, 0.714893639087677, 472, 235], [0.7639484978540773, 0.7659574747085571, 707, 235], [0.8674698795180723, 0.8595744967460632, 942, 235], [0.9082568807339448, 0.914893627166748, 1177, 235]]",0.7890280697413299,0.7548936367034912
7,1,50,0.005,"[[0.7093023255813954, 0.5744680762290955, 237, 235], [0.8703703703703703, 0.8808510899543762, 472, 235], [0.8, 0.8255318999290466, 707, 235], [0.9305555555555556, 0.914893627166748, 942, 235], [0.91699604743083, 0.9106382727622986, 1177, 235]]",0.8454448597876303,0.821276593208313
8,1,50,0.01,"[[0.7011494252873562, 0.5574468374252319, 237, 235], [0.8666666666666667, 0.8808510899543762, 472, 235], [0.9056603773584906, 0.8936170339584351, 707, 235], [0.908450704225352, 0.8893616795539856, 942, 235], [0.9279999999999999, 0.9234042763710022, 1177, 235]]",0.861985434707573,0.8289361834526062
9,1,70,0.001,"[[0.6834733893557422, 0.5191489458084106, 237, 235], [0.7416666666666666, 0.73617023229599, 472, 235], [0.7431192660550459, 0.7617021203041077, 707, 235], [0.8794788273615636, 0.8425531983375549, 942, 235], [0.9074074074074074, 0.914893627166748, 1177, 235]]",0.7910291113692851,0.7548936247825623
10,1,70,0.005,"[[0.6991404011461317, 0.5531914830207825, 237, 235], [0.8846153846153845, 0.8723404407501221, 472, 235], [0.9145299145299145, 0.914893627166748, 707, 235], [0.8976897689768977, 0.8680850863456726, 942, 235], [0.9504132231404959, 0.9489361643791199, 1177, 235]]",0.8692777384817647,0.831489360332489
11,1,70,0.01,"[[0.7289156626506025, 0.6170212626457214, 237, 235], [0.8897338403041826, 0.8765957355499268, 472, 235], [0.9554655870445343, 0.9531915187835693, 707, 235], [0.9314079422382672, 0.9191489219665527, 942, 235], [0.9623430962343097, 0.9617021083831787, 1177, 235]]",0.8935732256943792,0.8655319094657898
12,2,10,0.001,"[[0.6834733893557422, 0.5191489458084106, 237, 235], [0.7680608365019013, 0.7404255270957947, 472, 235], [0.8803088803088803, 0.8680850863456726, 707, 235], [0.9264705882352942, 0.914893627166748, 942, 235], [0.9586776859504132, 0.957446813583374, 1177, 235]]",0.8433982760704464,0.8
13,2,10,0.005,"[[0.7197640117994101, 0.5957446694374084, 237, 235], [0.8923076923076922, 0.8808510899543762, 472, 235], [0.8341232227488152, 0.8510638475418091, 707, 235], [0.9548872180451128, 0.9489361643791199, 942, 235], [0.8897338403041826, 0.8765957355499268, 1177, 235]]",0.8581631970410426,0.830638301372528
14,2,10,0.01,"[[0.6834733893557422, 0.5191489458084106, 237, 235], [0.6647727272727273, 0.49787235260009766, 472, 235], [0.6871508379888268, 0.5234042406082153, 707, 235], [0.7331536388140162, 0.5787234306335449, 942, 235], [0.6647727272727273, 0.49787235260009766, 1177, 235]]",0.686664664140808,0.5234042644500733
