,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
0,1,10,0.001,"[[0.0, 0.5075187683105469, 270, 266], [0.015503875968992248, 0.5225563645362854, 536, 266], [0.27272727272727276, 0.518796980381012, 802, 266], [0.8498402555910544, 0.8233082890510559, 1068, 266], [0.926470588235294, 0.9248120188713074, 1334, 266]]",0.41290839850452266,0.6593984842300415
1,1,10,0.005,"[[0.059259259259259255, 0.5225563645362854, 270, 266], [0.7613293051359518, 0.7030075192451477, 536, 266], [0.8603988603988605, 0.8157894611358643, 802, 266], [0.9587301587301588, 0.951127827167511, 1068, 266], [0.9667896678966789, 0.9661654233932495, 1334, 266]]",0.7213014502841818,0.7917293190956116
2,1,10,0.01,"[[0.8184818481848185, 0.7932330965995789, 270, 266], [0.9090909090909091, 0.9060150384902954, 536, 266], [0.867816091954023, 0.8270676732063293, 802, 266], [0.8840579710144928, 0.8796992301940918, 1068, 266], [0.9333333333333335, 0.9360902309417725, 1334, 266]]",0.8825560307155152,0.8684210538864136
3,1,30,0.001,"[[0.0, 0.5075187683105469, 270, 266], [0.5172413793103449, 0.6842105388641357, 536, 266], [0.7942238267148014, 0.7857142686843872, 802, 266], [0.9158878504672897, 0.8984962701797485, 1068, 266], [0.9390681003584228, 0.9360902309417725, 1334, 266]]",0.6332842313701718,0.7624060153961182
4,1,30,0.005,"[[0.4888888888888889, 0.6541353464126587, 270, 266], [0.7692307692307693, 0.8195488452911377, 536, 266], [0.9548387096774195, 0.9473684430122375, 802, 266], [0.9523809523809524, 0.9473684430122375, 1068, 266], [0.9708029197080292, 0.969924807548523, 1334, 266]]",0.8272284479772118,0.8676691770553588
5,1,30,0.01,"[[0.7005347593582888, 0.5789473652839661, 270, 266], [0.9083333333333333, 0.9172932505607605, 536, 266], [0.867816091954023, 0.8270676732063293, 802, 266], [0.9559322033898304, 0.951127827167511, 1068, 266], [0.9420849420849421, 0.9436089992523193, 1334, 266]]",0.8749402660240836,0.8436090230941773
6,1,50,0.001,"[[0.0, 0.5075187683105469, 270, 266], [0.5423728813559322, 0.6954887509346008, 536, 266], [0.8106060606060607, 0.8120300769805908, 802, 266], [0.9241379310344828, 0.9172932505607605, 1068, 266], [0.9632352941176471, 0.9624060392379761, 1334, 266]]",0.6480704334228246,0.778947377204895
7,1,50,0.005,"[[0.4378698224852071, 0.6428571343421936, 270, 266], [0.8571428571428571, 0.8796992301940918, 536, 266], [0.9594594594594594, 0.9548872113227844, 802, 266], [0.9529780564263324, 0.9436089992523193, 1068, 266], [0.9461538461538462, 0.9473684430122375, 1334, 266]]",0.8307208083335403,0.8736842036247253
8,1,50,0.01,"[[0.6499999999999999, 0.7368420958518982, 270, 266], [0.8284789644012944, 0.8007518649101257, 536, 266], [0.8435754189944134, 0.7894737124443054, 802, 266], [0.9154929577464789, 0.9097744226455688, 1068, 266], [0.9640287769784174, 0.9624060392379761, 1334, 266]]",0.8403152236241208,0.8398496270179748
9,1,70,0.001,"[[0.0, 0.5075187683105469, 270, 266], [0.41717791411042937, 0.6428571343421936, 536, 266], [0.9169435215946843, 0.9060150384902954, 802, 266], [0.9490445859872612, 0.9398496150970459, 1068, 266], [0.9667896678966789, 0.9661654233932495, 1334, 266]]",0.6499911379178107,0.7924811959266662
10,1,70,0.005,"[[0.6735218508997429, 0.5225563645362854, 270, 266], [0.7326732673267327, 0.7969924807548523, 536, 266], [0.9341692789968653, 0.9210526347160339, 802, 266], [0.9605263157894737, 0.9548872113227844, 1068, 266], [0.9710144927536232, 0.969924807548523, 1334, 266]]",0.8543810411532876,0.8330826997756958
11,1,70,0.01,"[[0.2763157894736842, 0.5864661931991577, 270, 266], [0.9516129032258064, 0.9548872113227844, 536, 266], [0.9504950495049505, 0.9436089992523193, 802, 266], [0.9230769230769231, 0.9172932505607605, 1068, 266], [0.8737864077669902, 0.853383481502533, 1334, 266]]",0.7950574146096708,0.851127827167511
12,2,10,0.001,"[[0.0, 0.5075187683105469, 270, 266], [0.8294573643410853, 0.8345864415168762, 536, 266], [0.7888446215139443, 0.8007518649101257, 802, 266], [0.9554140127388535, 0.9473684430122375, 1068, 266], [0.9632352941176471, 0.9624060392379761, 1334, 266]]",0.7073902585423061,0.8105263113975525
13,2,10,0.005,"[[0.8469055374592833, 0.8233082890510559, 270, 266], [0.5454545454545454, 0.6992481350898743, 536, 266], [0.9134948096885813, 0.9060150384902954, 802, 266], [0.970684039087948, 0.9661654233932495, 1068, 266], [0.9737827715355806, 0.9736841917037964, 1334, 266]]",0.8500643406451877,0.8736842155456543
14,2,10,0.01,"[[0.4216867469879518, 0.6390977501869202, 270, 266], [0.6382978723404256, 0.7443609237670898, 536, 266], [0.9545454545454546, 0.9473684430122375, 802, 266], [0.9610389610389611, 0.9548872113227844, 1068, 266], [0.9675090252707581, 0.9661654233932495, 1334, 266]]",0.7886156120367103,0.8503759503364563
15,2,30,0.001,"[[0.5319148936170213, 0.6691729426383972, 270, 266], [0.8504983388704318, 0.8308270573616028, 536, 266], [0.9562289562289562, 0.951127827167511, 802, 266], [0.94375, 0.932330846786499, 1068, 266], [0.950191570881226, 0.951127827167511, 1334, 266]]",0.8465167519195271,0.8669173002243042
16,2,30,0.005,"[[0.8231511254019293, 0.7932330965995789, 270, 266], [0.9142857142857143, 0.9210526347160339, 536, 266], [0.6869565217391305, 0.7293233275413513, 802, 266], [0.9527027027027026, 0.9473684430122375, 1068, 266], [0.9183673469387755, 0.9097744226455688, 1334, 266]]",0.8590926822136504,0.8601503849029541
17,2,30,0.01,"[[0.38271604938271603, 0.6240601539611816, 270, 266], [0.861952861952862, 0.8458646535873413, 536, 266], [0.7310924369747899, 0.7593985199928284, 802, 266], [0.9587301587301588, 0.951127827167511, 1068, 266], [0.9851851851851852, 0.9849624037742615, 1334, 266]]",0.7839353384451424,0.8330827116966247
18,2,50,0.001,"[[0.7901234567901234, 0.7443609237670898, 270, 266], [0.868421052631579, 0.8872180581092834, 536, 266], [0.9548387096774195, 0.9473684430122375, 802, 266], [0.9488054607508533, 0.9436089992523193, 1068, 266], [0.9667896678966789, 0.9661654233932495, 1334, 266]]",0.9057956695493308,0.8977443695068359
19,2,50,0.005,"[[0.6666666666666666, 0.7518796920776367, 270, 266], [0.5617977528089888, 0.7067669034004211, 536, 266], [0.9096385542168675, 0.8872180581092834, 802, 266], [0.9305555555555556, 0.9248120188713074, 1068, 266], [0.9640287769784174, 0.9624060392379761, 1334, 266]]",0.8065374612452991,0.8466165423393249
20,2,50,0.01,"[[0.8296943231441047, 0.853383481502533, 270, 266], [0.5617977528089888, 0.7067669034004211, 536, 266], [0.8988095238095237, 0.8721804618835449, 802, 266], [0.9700996677740864, 0.9661654233932495, 1068, 266], [0.9640287769784174, 0.9624060392379761, 1334, 266]]",0.8448860089030242,0.8721804618835449
21,2,70,0.001,"[[0.701923076923077, 0.7669172883033752, 270, 266], [0.8869565217391304, 0.902255654335022, 536, 266], [0.9142857142857144, 0.9097744226455688, 802, 266], [0.9529780564263324, 0.9436089992523193, 1068, 266], [0.967032967032967, 0.9661654233932495, 1334, 266]]",0.8846352672814441,0.897744357585907
22,2,70,0.005,"[[0.8362068965517241, 0.8571428656578064, 270, 266], [0.8850174216027874, 0.8759398460388184, 536, 266], [0.9801324503311258, 0.9774436354637146, 802, 266], [0.962962962962963, 0.9586465954780579, 1068, 266], [0.9774436090225563, 0.9774436354637146, 1334, 266]]",0.9283526680942312,0.9293233156204224
23,2,70,0.01,"[[0.35220125786163525, 0.6127819418907166, 270, 266], [0.29333333333333333, 0.6015037298202515, 536, 266], [0.6396396396396397, 0.6992481350898743, 802, 266], [0.8840579710144928, 0.8796992301940918, 1068, 266], [0.9708029197080292, 0.969924807548523, 1334, 266]]",0.6280070243114261,0.7526315689086914
24,3,10,0.001,"[[0.3478260869565218, 0.6052631735801697, 270, 266], [0.9338842975206612, 0.9398496150970459, 536, 266], [0.9287925696594428, 0.9135338068008423, 802, 266], [0.9743589743589743, 0.969924807548523, 1068, 266], [0.937007874015748, 0.9398496150970459, 1334, 266]]",0.8243739605022696,0.8736842036247253
25,3,10,0.005,"[[0.6282722513089005, 0.7330827116966248, 270, 266], [0.8858131487889273, 0.8759398460388184, 536, 266], [0.8753623188405798, 0.8383458852767944, 802, 266], [0.9587301587301588, 0.951127827167511, 1068, 266], [0.9333333333333335, 0.9360902309417725, 1334, 266]]",0.8563022422003799,0.8669173002243042
26,3,10,0.01,"[[0.30967741935483867, 0.597744345664978, 270, 266], [0.9110320284697508, 0.9060150384902954, 536, 266], [0.0, 0.43233081698417664, 802, 266], [0.7320574162679425, 0.5789473652839661, 1068, 266], [0.6733167082294265, 0.5075187683105469, 1334, 266]]",0.5252167144643917,0.6045112669467926
27,3,30,0.001,"[[0.6600985221674877, 0.7406014800071716, 270, 266], [0.7573964497041421, 0.6917293071746826, 536, 266], [0.8507042253521127, 0.8007518649101257, 802, 266], [0.9378881987577641, 0.9248120188713074, 1068, 266], [0.9708029197080292, 0.969924807548523, 1334, 266]]",0.8353780631379071,0.8255638957023621
28,3,30,0.005,"[[0.8205128205128205, 0.7894737124443054, 270, 266], [0.7450980392156863, 0.8045112490653992, 536, 266], [0.8296703296703297, 0.7669172883033752, 802, 266], [0.9329268292682927, 0.9172932505607605, 1068, 266], [0.8940397350993378, 0.8796992301940918, 1334, 266]]",0.8444495507532934,0.8315789461135864
29,3,30,0.01,"[[0.9098039215686274, 0.9135338068008423, 270, 266], [0.7420289855072463, 0.6654135584831238, 536, 266], [0.8856304985337243, 0.853383481502533, 802, 266], [0.9415807560137458, 0.9360902309417725, 1068, 266], [0.9605734767025089, 0.9586465954780579, 1334, 266]]",0.8879235276651706,0.8654135346412659
30,3,50,0.001,"[[0.519774011299435, 0.6804511547088623, 270, 266], [0.7596439169139465, 0.6954887509346008, 536, 266], [0.6754385964912281, 0.7218044996261597, 802, 266], [0.8634686346863468, 0.8609022498130798, 1068, 266], [0.9534883720930233, 0.9548872113227844, 1334, 266]]",0.7543627062967959,0.7827067732810974
31,3,50,0.005,"[[0.38271604938271603, 0.6240601539611816, 270, 266], [0.7876923076923077, 0.7406014800071716, 536, 266], [0.888235294117647, 0.8571428656578064, 802, 266], [0.9116607773851589, 0.9060150384902954, 1068, 266], [0.9453124999999999, 0.9473684430122375, 1334, 266]]",0.7831233857155658,0.8150375962257386
32,3,50,0.01,"[[0.25333333333333335, 0.5789473652839661, 270, 266], [0.7326732673267327, 0.7969924807548523, 536, 266], [0.9295774647887324, 0.9248120188713074, 802, 266], [0.9664429530201343, 0.9624060392379761, 1068, 266], [0.9112903225806451, 0.9172932505607605, 1334, 266]]",0.7586634682099155,0.8360902309417725
33,3,70,0.001,"[[0.3625, 0.61654132604599, 270, 266], [0.7326732673267327, 0.7969924807548523, 536, 266], [0.8118279569892474, 0.7368420958518982, 802, 266], [0.8717948717948719, 0.8684210777282715, 1068, 266], [0.9708029197080292, 0.969924807548523, 1334, 266]]",0.7499198031637763,0.797744357585907
34,3,70,0.005,"[[0.5028571428571428, 0.6729323267936707, 270, 266], [0.8879310344827587, 0.902255654335022, 536, 266], [0.8162162162162162, 0.7443609237670898, 802, 266], [0.9235474006116209, 0.9060150384902954, 1068, 266], [0.9672727272727272, 0.9661654233932495, 1334, 266]]",0.8195649042880933,0.8383458733558655
35,3,70,0.01,"[[0.798780487804878, 0.7518796920776367, 270, 266], [0.6010928961748634, 0.7255638837814331, 536, 266], [0.0, 0.43233081698417664, 802, 266], [0.06329113924050632, 0.4436090290546417, 1068, 266], [0.6733167082294265, 0.5075187683105469, 1334, 266]]",0.4272962462899348,0.5721804380416871
36,4,10,0.001,"[[0.8143322475570033, 0.7857142686843872, 270, 266], [0.8838951310861424, 0.88345867395401, 536, 266], [0.9548387096774195, 0.9473684430122375, 802, 266], [0.96, 0.9548872113227844, 1068, 266], [0.9632352941176471, 0.9624060392379761, 1334, 266]]",0.9152602764876423,0.906766927242279
37,4,10,0.005,"[[0.5604395604395604, 0.6992481350898743, 270, 266], [0.9477911646586346, 0.951127827167511, 536, 266], [0.8646616541353382, 0.8646616339683533, 802, 266], [0.9671052631578948, 0.9624060392379761, 1068, 266], [0.9602888086642599, 0.9586465954780579, 1334, 266]]",0.8600572902111375,0.8872180461883545
38,4,10,0.01,"[[0.0, 0.5075187683105469, 270, 266], [0.0, 0.518796980381012, 536, 266], [0.0, 0.43233081698417664, 802, 266], [0.7303102625298329, 0.5751879811286926, 1068, 266], [0.6733167082294265, 0.5075187683105469, 1334, 266]]",0.2807253941518518,0.508270663022995
39,4,30,0.001,"[[0.7491638795986623, 0.7180451154708862, 270, 266], [0.8698630136986301, 0.8571428656578064, 536, 266], [0.9550173010380623, 0.951127827167511, 802, 266], [0.9634551495016611, 0.9586465954780579, 1068, 266], [0.9743589743589742, 0.9736841917037964, 1334, 266]]",0.902371663639198,0.8917293190956116
40,4,30,0.005,"[[0.0, 0.5075187683105469, 270, 266], [0.0, 0.518796980381012, 536, 266], [0.0, 0.43233081698417664, 802, 266], [0.7320574162679425, 0.5789473652839661, 1068, 266], [0.6733167082294265, 0.5075187683105469, 1334, 266]]",0.2810748248994738,0.5090225398540497
41,4,30,0.01,"[[0.0, 0.5075187683105469, 270, 266], [0.0, 0.518796980381012, 536, 266], [0.0, 0.43233081698417664, 802, 266], [0.0, 0.4248120188713074, 1068, 266], [0.6733167082294265, 0.5075187683105469, 1334, 266]]",0.13466334164588528,0.47819547057151796
42,4,50,0.001,"[[0.5168539325842696, 0.6766917109489441, 270, 266], [0.852017937219731, 0.8759398460388184, 536, 266], [0.669603524229075, 0.7180451154708862, 802, 266], [0.9559748427672956, 0.9473684430122375, 1068, 266], [0.9708029197080292, 0.969924807548523, 1334, 266]]",0.7930506313016801,0.8375939846038818
43,4,50,0.005,"[[0.693548387096774, 0.5714285969734192, 270, 266], [0.7867298578199052, 0.8308270573616028, 536, 266], [0.6334841628959276, 0.6954887509346008, 802, 266], [0.9305555555555556, 0.9248120188713074, 1068, 266], [0.9743589743589742, 0.9736841917037964, 1334, 266]]",0.8037353875454274,0.7992481231689453
44,4,50,0.01,"[[0.8803088803088803, 0.88345867395401, 270, 266], [0.8050314465408805, 0.7669172883033752, 536, 266], [0.6517857142857143, 0.7067669034004211, 802, 266], [0.9634551495016611, 0.9586465954780579, 1068, 266], [0.9436619718309859, 0.9398496150970459, 1334, 266]]",0.8488486324936243,0.851127815246582
45,4,70,0.001,"[[0.35220125786163525, 0.6127819418907166, 270, 266], [0.852017937219731, 0.8759398460388184, 536, 266], [0.8063241106719368, 0.8157894611358643, 802, 266], [0.9671052631578948, 0.9624060392379761, 1068, 266], [0.9411764705882353, 0.9436089992523193, 1334, 266]]",0.7837650078998866,0.842105257511139
46,4,70,0.005,"[[0.519774011299435, 0.6804511547088623, 270, 266], [0.5934065934065934, 0.7218044996261597, 536, 266], [0.880466472303207, 0.8458646535873413, 802, 266], [0.8973607038123167, 0.8684210777282715, 1068, 266], [0.8, 0.8308270573616028, 1334, 266]]",0.7382015561643105,0.7894736886024475
47,4,70,0.01,"[[0.0, 0.5075187683105469, 270, 266], [0.0, 0.518796980381012, 536, 266], [0.0, 0.43233081698417664, 802, 266], [0.0, 0.4248120188713074, 1068, 266], [0.6733167082294265, 0.5075187683105469, 1334, 266]]",0.13466334164588528,0.47819547057151796
