,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
0,1,10,0.001,"[[0.7713004484304934, 0.7772925496101379, 231, 229], [0.8502024291497975, 0.8384279608726501, 460, 229], [0.8, 0.7467249035835266, 689, 229], [0.7073954983922829, 0.6026200652122498, 918, 229], [0.4109589041095891, 0.624454140663147, 1147, 229]]",0.7079714560164325,0.7179039239883422
1,1,10,0.005,"[[0.8833333333333334, 0.8777292370796204, 231, 229], [0.9327731092436974, 0.9301310181617737, 460, 229], [0.8465116279069766, 0.8558952212333679, 689, 229], [0.9107981220657277, 0.9170305728912354, 918, 229], [0.7945205479452054, 0.7379912734031677, 1147, 229]]",0.8735873480989881,0.863755464553833
2,1,10,0.01,"[[0.9180327868852458, 0.9126637578010559, 231, 229], [0.9391304347826087, 0.9388646483421326, 460, 229], [0.7922705314009661, 0.8122270703315735, 689, 229], [0.4583333333333333, 0.6593886613845825, 918, 229], [0.7160493827160493, 0.5982532501220703, 1147, 229]]",0.7647632938236407,0.7842794775962829
3,1,30,0.001,"[[0.9024390243902439, 0.8951964974403381, 231, 229], [0.9230769230769231, 0.9213973879814148, 460, 229], [0.7864406779661017, 0.7248908281326294, 689, 229], [0.8629032258064516, 0.8515284061431885, 918, 229], [0.9349593495934959, 0.9301310181617737, 1147, 229]]",0.8819638401666433,0.8646288275718689
4,1,30,0.005,"[[0.9280000000000002, 0.9213973879814148, 231, 229], [0.8761904761904761, 0.8864628672599792, 460, 229], [0.8698884758364313, 0.847161591053009, 689, 229], [0.7927272727272727, 0.751091718673706, 918, 229], [0.8949416342412451, 0.8820960521697998, 1147, 229]]",0.872349571799085,0.8576419234275818
5,1,30,0.01,"[[0.8872727272727273, 0.864628791809082, 231, 229], [0.940677966101695, 0.9388646483421326, 460, 229], [0.7391304347826086, 0.6331877708435059, 689, 229], [0.4761904761904762, 0.663755476474762, 918, 229], [0.8914728682170543, 0.8777292370796204, 1147, 229]]",0.7869488945129122,0.7956331849098206
6,1,50,0.001,"[[0.855072463768116, 0.8253275156021118, 231, 229], [0.9145299145299145, 0.9126637578010559, 460, 229], [0.9105691056910569, 0.903930127620697, 689, 229], [0.7517241379310345, 0.6855894923210144, 918, 229], [0.8773584905660377, 0.8864628672599792, 1147, 229]]",0.861850822497232,0.8427947521209717
7,1,50,0.005,"[[0.8372093023255813, 0.847161591053009, 231, 229], [0.940677966101695, 0.9388646483421326, 460, 229], [0.8425925925925924, 0.8515284061431885, 689, 229], [0.7881040892193307, 0.751091718673706, 918, 229], [0.9387755102040817, 0.9344978332519531, 1147, 229]]",0.8694718920886562,0.8646288394927979
8,1,50,0.01,"[[0.9224806201550388, 0.9126637578010559, 231, 229], [0.9189189189189189, 0.9213973879814148, 460, 229], [0.3783783783783784, 0.5982532501220703, 689, 229], [0.745644599303136, 0.6812227368354797, 918, 229], [0.8712121212121211, 0.8515284061431885, 1147, 229]]",0.7673269275935186,0.7930131077766418
9,1,70,0.001,"[[0.8776371308016878, 0.8733624219894409, 231, 229], [0.911504424778761, 0.9126637578010559, 460, 229], [0.8436363636363635, 0.8122270703315735, 689, 229], [0.41134751773049644, 0.6375545859336853, 918, 229], [0.9487179487179486, 0.9475982785224915, 1147, 229]]",0.7985686771330515,0.8366812229156494
10,1,70,0.005,"[[0.923076923076923, 0.9170305728912354, 231, 229], [0.940677966101695, 0.9388646483421326, 460, 229], [0.6557377049180327, 0.7248908281326294, 689, 229], [0.6900958466453674, 0.5764192342758179, 918, 229], [0.8394160583941604, 0.807860255241394, 1147, 229]]",0.8098008998272357,0.7930131077766418
11,1,70,0.01,"[[0.8921933085501859, 0.8733624219894409, 231, 229], [0.9446808510638298, 0.943231463432312, 460, 229], [0.7234042553191489, 0.6026200652122498, 689, 229], [0.7290969899665553, 0.6462882161140442, 918, 229], [0.8, 0.7467249035835266, 1147, 229]]",0.8178750809799439,0.7624454140663147
