,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
0,1,10,0.001,"[[0.4134078212290503, 0.6153846383094788, 278, 273], [0.8160000000000001, 0.831501841545105, 551, 273], [0.8199233716475097, 0.8278388381004333, 824, 273], [0.8853754940711462, 0.8937729001045227, 1097, 273], [0.7828746177370031, 0.7399267554283142, 1370, 273]]",0.7435162609369418,0.7816849946975708
1,1,10,0.005,"[[0.6926406926406927, 0.7399267554283142, 278, 273], [0.8960573476702509, 0.8937729001045227, 551, 273], [0.8221343873517786, 0.8351648449897766, 824, 273], [0.4482758620689656, 0.6483516693115234, 1097, 273], [0.8514851485148516, 0.8351648449897766, 1370, 273]]",0.742118687649308,0.7904762029647827
2,1,10,0.01,"[[0.594059405940594, 0.6996337175369263, 278, 273], [0.9372693726937269, 0.9377289414405823, 551, 273], [0.7500000000000001, 0.7875458002090454, 824, 273], [0.8821548821548822, 0.8717948794364929, 1097, 273], [0.7146814404432132, 0.622710645198822, 1370, 273]]",0.7756330202464833,0.7838827967643738
3,1,30,0.001,"[[0.5686274509803921, 0.6776556968688965, 278, 273], [0.8480000000000001, 0.860805869102478, 551, 273], [0.8, 0.8205128312110901, 824, 273], [0.9116607773851589, 0.9084249138832092, 1097, 273], [0.4216867469879517, 0.6483516693115234, 1370, 273]]",0.7099949950707006,0.7831501960754395
4,1,30,0.005,"[[0.7906976744186045, 0.8021978139877319, 278, 273], [0.9163636363636364, 0.9157509207725525, 551, 273], [0.9241379310344827, 0.9194139242172241, 824, 273], [0.7465437788018432, 0.7985348105430603, 1097, 273], [0.5280898876404494, 0.692307710647583, 1370, 273]]",0.7811665816518033,0.8256410360336304
5,1,30,0.01,"[[0.6880733944954128, 0.7509157657623291, 278, 273], [0.6363636363636364, 0.7362637519836426, 551, 273], [0.8714733542319749, 0.8498168587684631, 824, 273], [0.8098159509202454, 0.7728937864303589, 1097, 273], [0.6771653543307087, 0.5494505763053894, 1370, 273]]",0.7365783380683957,0.7318681478500366
6,1,50,0.001,"[[0.6238532110091743, 0.6996337175369263, 278, 273], [0.8442622950819672, 0.860805869102478, 551, 273], [0.8945454545454544, 0.8937729001045227, 824, 273], [0.8454258675078865, 0.8205128312110901, 1097, 273], [0.7488151658767772, 0.8058608174324036, 1370, 273]]",0.7913803988042519,0.8161172270774841
7,1,50,0.005,"[[0.7986348122866894, 0.7838827967643738, 278, 273], [0.9163636363636364, 0.9157509207725525, 551, 273], [0.831858407079646, 0.791208803653717, 824, 273], [0.7423822714681441, 0.6593406796455383, 1097, 273], [0.46783625730994155, 0.6666666865348816, 1370, 273]]",0.7514150769016115,0.7633699774742126
8,1,50,0.01,"[[0.7565217391304349, 0.7948718070983887, 278, 273], [0.88715953307393, 0.8937729001045227, 551, 273], [0.8996539792387543, 0.8937729001045227, 824, 273], [0.6889460154241646, 0.5567765831947327, 1097, 273], [0.44970414201183434, 0.6593406796455383, 1370, 273]]",0.7363970817758236,0.759706974029541
9,1,70,0.001,"[[0.6842105263157895, 0.7362637519836426, 278, 273], [0.8489795918367345, 0.8644688725471497, 551, 273], [0.8160000000000001, 0.831501841545105, 824, 273], [0.8949152542372881, 0.8864468932151794, 1097, 273], [0.7103825136612022, 0.6117216348648071, 1370, 273]]",0.7908975772102029,0.7860805988311768
10,1,70,0.005,"[[0.8045977011494252, 0.8131868243217468, 278, 273], [0.8617886178861789, 0.8754578828811646, 551, 273], [0.8888888888888888, 0.8754578828811646, 824, 273], [0.8523206751054851, 0.8717948794364929, 1097, 273], [0.7901234567901235, 0.7509157657623291, 1370, 273]]",0.8395438679640203,0.8373626470565796
11,1,70,0.01,"[[0.7717842323651452, 0.7985348105430603, 278, 273], [0.9202898550724639, 0.9194139242172241, 551, 273], [0.8702290076335878, 0.8754578828811646, 824, 273], [0.4831460674157303, 0.66300368309021, 1097, 273], [0.11594202898550725, 0.553113579750061, 1370, 273]]",0.6322782382944869,0.761904776096344
12,2,10,0.001,"[[0.6255506607929515, 0.6886447072029114, 278, 273], [0.8905109489051094, 0.8901098966598511, 551, 273], [0.8537549407114625, 0.8644688725471497, 824, 273], [0.7747747747747746, 0.8168498277664185, 1097, 273], [0.7107438016528926, 0.6153846383094788, 1370, 273]]",0.7710670253674381,0.7750915884971619
13,2,10,0.005,"[[0.7551867219917012, 0.7838827967643738, 278, 273], [0.891156462585034, 0.8827838897705078, 551, 273], [0.8750000000000001, 0.8534798622131348, 824, 273], [0.88715953307393, 0.8937729001045227, 1097, 273], [0.7142857142857143, 0.6190476417541504, 1370, 273]]",0.8245576863872758,0.8065934181213379
14,2,10,0.01,"[[0.790513833992095, 0.8058608174324036, 278, 273], [0.8829431438127091, 0.8717948794364929, 551, 273], [0.8032786885245901, 0.8241758346557617, 824, 273], [0.7034120734908137, 0.5860806107521057, 1097, 273], [0.6824146981627296, 0.5567765831947327, 1370, 273]]",0.7725124875965874,0.7289377450942993
15,2,30,0.001,"[[0.6727272727272727, 0.7362637519836426, 278, 273], [0.89419795221843, 0.8864468932151794, 551, 273], [0.7161572052401747, 0.761904776096344, 824, 273], [0.7601809954751131, 0.8058608174324036, 1097, 273], [0.6288659793814433, 0.7362637519836426, 1370, 273]]",0.7344258810084867,0.7853479981422424
16,2,30,0.005,"[[0.7918367346938776, 0.8131868243217468, 278, 273], [0.8981132075471698, 0.901098906993866, 551, 273], [0.8623853211009174, 0.8351648449897766, 824, 273], [0.7382920110192838, 0.6520146727561951, 1097, 273], [0.44970414201183434, 0.6593406796455383, 1370, 273]]",0.7480662832746166,0.7721611857414246
17,2,30,0.01,"[[0.8142857142857143, 0.8095238208770752, 278, 273], [0.8368200836820084, 0.8571428656578064, 551, 273], [0.8646616541353382, 0.8681318759918213, 824, 273], [0.7204301075268817, 0.6190476417541504, 1097, 273], [0.43113772455089816, 0.6520146727561951, 1370, 273]]",0.7334670568361682,0.7611721754074097
18,2,50,0.001,"[[0.706422018348624, 0.7655677795410156, 278, 273], [0.8803088803088802, 0.8864468932151794, 551, 273], [0.9057971014492754, 0.9047619104385376, 824, 273], [0.9, 0.8974359035491943, 1097, 273], [0.7492795389048992, 0.6813187003135681, 1370, 273]]",0.8283615078023358,0.827106237411499
19,2,50,0.005,"[[0.8064516129032259, 0.8241758346557617, 278, 273], [0.7964601769911505, 0.831501841545105, 551, 273], [0.8449612403100775, 0.8534798622131348, 824, 273], [0.6767676767676767, 0.5311355590820312, 1097, 273], [0.6951871657754011, 0.5824176073074341, 1370, 273]]",0.7639655745495062,0.7245421409606934
20,2,50,0.01,"[[0.669811320754717, 0.7435897588729858, 278, 273], [0.8989547038327526, 0.8937729001045227, 551, 273], [0.8742138364779874, 0.8534798622131348, 824, 273], [0.6432160804020101, 0.7399267554283142, 1097, 273], [0.36250000000000004, 0.6263736486434937, 1370, 273]]",0.6897391882934935,0.7714285850524902
21,2,70,0.001,"[[0.6604651162790698, 0.732600748538971, 278, 273], [0.8524590163934426, 0.8351648449897766, 551, 273], [0.8814814814814815, 0.8827838897705078, 824, 273], [0.830188679245283, 0.8021978139877319, 1097, 273], [0.8372093023255813, 0.8205128312110901, 1370, 273]]",0.8123607191449717,0.8146520256996155
22,2,70,0.005,"[[0.7808764940239045, 0.7985348105430603, 278, 273], [0.9157509157509157, 0.9157509207725525, 551, 273], [0.8698412698412697, 0.8498168587684631, 824, 273], [0.8571428571428572, 0.8754578828811646, 1097, 273], [0.847682119205298, 0.831501841545105, 1370, 273]]",0.8542587311928491,0.8542124629020691
23,2,70,0.01,"[[0.8016194331983806, 0.8205128312110901, 278, 273], [0.8924302788844621, 0.901098906993866, 551, 273], [0.8623853211009174, 0.8351648449897766, 824, 273], [0.8571428571428571, 0.8388278484344482, 1097, 273], [0.7514450867052023, 0.6849817037582397, 1370, 273]]",0.8330045954063638,0.8161172270774841
24,3,10,0.001,"[[0.6919831223628693, 0.732600748538971, 278, 273], [0.9195402298850575, 0.9230769276618958, 551, 273], [0.8286852589641435, 0.8424908518791199, 824, 273], [0.7053140096618358, 0.7765567898750305, 1097, 273], [0.6972972972972973, 0.5897436141967773, 1370, 273]]",0.7685639836342407,0.7728937864303589
25,3,10,0.005,"[[0.74235807860262, 0.7838827967643738, 278, 273], [0.9083969465648857, 0.9120879173278809, 551, 273], [0.7053571428571428, 0.7582417726516724, 824, 273], [0.8914728682170542, 0.8974359035491943, 1097, 273], [0.4285714285714286, 0.6483516693115234, 1370, 273]]",0.7352312929626261,0.800000011920929
26,3,10,0.01,"[[0.7404255319148936, 0.7765567898750305, 278, 273], [0.9125475285171102, 0.9157509207725525, 551, 273], [0.851063829787234, 0.8205128312110901, 824, 273], [0.7302452316076293, 0.6373626589775085, 1097, 273], [0.6701030927835051, 0.5311355590820312, 1370, 273]]",0.7808770429220744,0.7362637519836426
27,3,30,0.001,"[[0.6851851851851852, 0.7509157657623291, 278, 273], [0.920863309352518, 0.9194139242172241, 551, 273], [0.8749999999999999, 0.8681318759918213, 824, 273], [0.8784313725490196, 0.8864468932151794, 1097, 273], [0.7247191011235954, 0.6410256624221802, 1370, 273]]",0.8168397936420636,0.8131868243217468
28,3,30,0.005,"[[0.7058823529411766, 0.761904776096344, 278, 273], [0.8724279835390948, 0.8864468932151794, 551, 273], [0.8867313915857606, 0.8717948794364929, 824, 273], [0.8825910931174089, 0.8937729001045227, 1097, 273], [0.40243902439024387, 0.6410256624221802, 1370, 273]]",0.750014369114737,0.8109890222549438
29,3,30,0.01,"[[0.7704918032786884, 0.7948718070983887, 278, 273], [0.88715953307393, 0.8937729001045227, 551, 273], [0.7647058823529412, 0.7948718070983887, 824, 273], [0.6979166666666667, 0.5750916004180908, 1097, 273], [0.4588235294117647, 0.66300368309021, 1370, 273]]",0.7158194829567982,0.7443223595619202
