,nu,kernel,gamma,metrics,f1_score_avg,accuracy_avg
0,0.2,linear,scale,"[[0.9770992366412214, 0.9793103448275862], [0.9770992366412214, 0.9793103448275862], [0.9701492537313433, 0.9724137931034482], [0.030303030303030307, 0.5586206896551724], [0.9343065693430657, 0.9379310344827586], [0.9516129032258065, 0.9586206896551724], [0.6310679611650485, 0.47586206896551725], [0.6190476190476191, 0.4482758620689655], [0.8843537414965986, 0.8827586206896552], [0.8843537414965986, 0.8827586206896552], [0.8280254777070064, 0.8137931034482758], [0.6170212765957447, 0.7517241379310344], [0.9558823529411764, 0.9586206896551724], [0.9014084507042254, 0.903448275862069], [0.6190476190476191, 0.4482758620689655], [0.15584415584415584, 0.5517241379310345], [0.7602339181286549, 0.7172413793103448], [0.7602339181286549, 0.7172413793103448], [0.680628272251309, 0.5793103448275863], [0.6989247311827956, 0.6137931034482759], [0.787878787878788, 0.7586206896551724], [0.7602339181286549, 0.7172413793103448], [0.0, 0.5517241379310345], [0.4918032786885246, 0.5724137931034483], [0.6842105263157895, 0.5862068965517241], [0.6842105263157895, 0.5862068965517241], [0.6220095693779905, 0.45517241379310347], [0.6220095693779905, 0.45517241379310347], [0.6989247311827956, 0.6137931034482759], [0.6878306878306878, 0.593103448275862], [0.0, 0.5241379310344828], [0.6190476190476191, 0.4482758620689655]]",0.9770992366412214,0.9793103448275862
1,0.2,linear,auto,"[[0.9770992366412214, 0.9793103448275862], [0.9770992366412214, 0.9793103448275862], [0.9701492537313433, 0.9724137931034482], [0.030303030303030307, 0.5586206896551724], [0.9343065693430657, 0.9379310344827586], [0.9516129032258065, 0.9586206896551724], [0.6310679611650485, 0.47586206896551725], [0.6190476190476191, 0.4482758620689655], [0.8843537414965986, 0.8827586206896552], [0.8843537414965986, 0.8827586206896552], [0.8280254777070064, 0.8137931034482758], [0.6170212765957447, 0.7517241379310344], [0.9558823529411764, 0.9586206896551724], [0.9014084507042254, 0.903448275862069], [0.6190476190476191, 0.4482758620689655], [0.15584415584415584, 0.5517241379310345], [0.7602339181286549, 0.7172413793103448], [0.7602339181286549, 0.7172413793103448], [0.680628272251309, 0.5793103448275863], [0.6989247311827956, 0.6137931034482759], [0.787878787878788, 0.7586206896551724], [0.7602339181286549, 0.7172413793103448], [0.0, 0.5517241379310345], [0.4918032786885246, 0.5724137931034483], [0.6842105263157895, 0.5862068965517241], [0.6842105263157895, 0.5862068965517241], [0.6220095693779905, 0.45517241379310347], [0.6220095693779905, 0.45517241379310347], [0.6989247311827956, 0.6137931034482759], [0.6878306878306878, 0.593103448275862], [0.0, 0.5241379310344828], [0.6190476190476191, 0.4482758620689655]]",0.9770992366412214,0.9793103448275862
2,0.2,poly,scale,"[[0.9770992366412214, 0.9793103448275862], [0.9770992366412214, 0.9793103448275862], [0.9701492537313433, 0.9724137931034482], [0.030303030303030307, 0.5586206896551724], [0.9343065693430657, 0.9379310344827586], [0.9516129032258065, 0.9586206896551724], [0.6310679611650485, 0.47586206896551725], [0.6190476190476191, 0.4482758620689655], [0.8843537414965986, 0.8827586206896552], [0.8843537414965986, 0.8827586206896552], [0.8280254777070064, 0.8137931034482758], [0.6170212765957447, 0.7517241379310344], [0.9558823529411764, 0.9586206896551724], [0.9014084507042254, 0.903448275862069], [0.6190476190476191, 0.4482758620689655], [0.15584415584415584, 0.5517241379310345], [0.7602339181286549, 0.7172413793103448], [0.7602339181286549, 0.7172413793103448], [0.680628272251309, 0.5793103448275863], [0.6989247311827956, 0.6137931034482759], [0.787878787878788, 0.7586206896551724], [0.7602339181286549, 0.7172413793103448], [0.0, 0.5517241379310345], [0.4918032786885246, 0.5724137931034483], [0.6842105263157895, 0.5862068965517241], [0.6842105263157895, 0.5862068965517241], [0.6220095693779905, 0.45517241379310347], [0.6220095693779905, 0.45517241379310347], [0.6989247311827956, 0.6137931034482759], [0.6878306878306878, 0.593103448275862], [0.0, 0.5241379310344828], [0.6190476190476191, 0.4482758620689655]]",0.974782575671262,0.9770114942528735
3,0.2,poly,auto,"[[0.9770992366412214, 0.9793103448275862], [0.9770992366412214, 0.9793103448275862], [0.9701492537313433, 0.9724137931034482], [0.030303030303030307, 0.5586206896551724], [0.9343065693430657, 0.9379310344827586], [0.9516129032258065, 0.9586206896551724], [0.6310679611650485, 0.47586206896551725], [0.6190476190476191, 0.4482758620689655], [0.8843537414965986, 0.8827586206896552], [0.8843537414965986, 0.8827586206896552], [0.8280254777070064, 0.8137931034482758], [0.6170212765957447, 0.7517241379310344], [0.9558823529411764, 0.9586206896551724], [0.9014084507042254, 0.903448275862069], [0.6190476190476191, 0.4482758620689655], [0.15584415584415584, 0.5517241379310345], [0.7602339181286549, 0.7172413793103448], [0.7602339181286549, 0.7172413793103448], [0.680628272251309, 0.5793103448275863], [0.6989247311827956, 0.6137931034482759], [0.787878787878788, 0.7586206896551724], [0.7602339181286549, 0.7172413793103448], [0.0, 0.5517241379310345], [0.4918032786885246, 0.5724137931034483], [0.6842105263157895, 0.5862068965517241], [0.6842105263157895, 0.5862068965517241], [0.6220095693779905, 0.45517241379310347], [0.6220095693779905, 0.45517241379310347], [0.6989247311827956, 0.6137931034482759], [0.6878306878306878, 0.593103448275862], [0.0, 0.5241379310344828], [0.6190476190476191, 0.4482758620689655]]",0.7386626893292041,0.8724137931034482
4,0.2,rbf,scale,"[[0.9770992366412214, 0.9793103448275862], [0.9770992366412214, 0.9793103448275862], [0.9701492537313433, 0.9724137931034482], [0.030303030303030307, 0.5586206896551724], [0.9343065693430657, 0.9379310344827586], [0.9516129032258065, 0.9586206896551724], [0.6310679611650485, 0.47586206896551725], [0.6190476190476191, 0.4482758620689655], [0.8843537414965986, 0.8827586206896552], [0.8843537414965986, 0.8827586206896552], [0.8280254777070064, 0.8137931034482758], [0.6170212765957447, 0.7517241379310344], [0.9558823529411764, 0.9586206896551724], [0.9014084507042254, 0.903448275862069], [0.6190476190476191, 0.4482758620689655], [0.15584415584415584, 0.5517241379310345], [0.7602339181286549, 0.7172413793103448], [0.7602339181286549, 0.7172413793103448], [0.680628272251309, 0.5793103448275863], [0.6989247311827956, 0.6137931034482759], [0.787878787878788, 0.7586206896551724], [0.7602339181286549, 0.7172413793103448], [0.0, 0.5517241379310345], [0.4918032786885246, 0.5724137931034483], [0.6842105263157895, 0.5862068965517241], [0.6842105263157895, 0.5862068965517241], [0.6220095693779905, 0.45517241379310347], [0.6220095693779905, 0.45517241379310347], [0.6989247311827956, 0.6137931034482759], [0.6878306878306878, 0.593103448275862], [0.0, 0.5241379310344828], [0.6190476190476191, 0.4482758620689655]]",0.7777914653319764,0.8855172413793102
5,0.2,rbf,auto,"[[0.9770992366412214, 0.9793103448275862], [0.9770992366412214, 0.9793103448275862], [0.9701492537313433, 0.9724137931034482], [0.030303030303030307, 0.5586206896551724], [0.9343065693430657, 0.9379310344827586], [0.9516129032258065, 0.9586206896551724], [0.6310679611650485, 0.47586206896551725], [0.6190476190476191, 0.4482758620689655], [0.8843537414965986, 0.8827586206896552], [0.8843537414965986, 0.8827586206896552], [0.8280254777070064, 0.8137931034482758], [0.6170212765957447, 0.7517241379310344], [0.9558823529411764, 0.9586206896551724], [0.9014084507042254, 0.903448275862069], [0.6190476190476191, 0.4482758620689655], [0.15584415584415584, 0.5517241379310345], [0.7602339181286549, 0.7172413793103448], [0.7602339181286549, 0.7172413793103448], [0.680628272251309, 0.5793103448275863], [0.6989247311827956, 0.6137931034482759], [0.787878787878788, 0.7586206896551724], [0.7602339181286549, 0.7172413793103448], [0.0, 0.5517241379310345], [0.4918032786885246, 0.5724137931034483], [0.6842105263157895, 0.5862068965517241], [0.6842105263157895, 0.5862068965517241], [0.6220095693779905, 0.45517241379310347], [0.6220095693779905, 0.45517241379310347], [0.6989247311827956, 0.6137931034482759], [0.6878306878306878, 0.593103448275862], [0.0, 0.5241379310344828], [0.6190476190476191, 0.4482758620689655]]",0.8067617049809481,0.8977011494252873
6,0.2,sigmoid,scale,"[[0.9770992366412214, 0.9793103448275862], [0.9770992366412214, 0.9793103448275862], [0.9701492537313433, 0.9724137931034482], [0.030303030303030307, 0.5586206896551724], [0.9343065693430657, 0.9379310344827586], [0.9516129032258065, 0.9586206896551724], [0.6310679611650485, 0.47586206896551725], [0.6190476190476191, 0.4482758620689655], [0.8843537414965986, 0.8827586206896552], [0.8843537414965986, 0.8827586206896552], [0.8280254777070064, 0.8137931034482758], [0.6170212765957447, 0.7517241379310344], [0.9558823529411764, 0.9586206896551724], [0.9014084507042254, 0.903448275862069], [0.6190476190476191, 0.4482758620689655], [0.15584415584415584, 0.5517241379310345], [0.7602339181286549, 0.7172413793103448], [0.7602339181286549, 0.7172413793103448], [0.680628272251309, 0.5793103448275863], [0.6989247311827956, 0.6137931034482759], [0.787878787878788, 0.7586206896551724], [0.7602339181286549, 0.7172413793103448], [0.0, 0.5517241379310345], [0.4918032786885246, 0.5724137931034483], [0.6842105263157895, 0.5862068965517241], [0.6842105263157895, 0.5862068965517241], [0.6220095693779905, 0.45517241379310347], [0.6220095693779905, 0.45517241379310347], [0.6989247311827956, 0.6137931034482759], [0.6878306878306878, 0.593103448275862], [0.0, 0.5241379310344828], [0.6190476190476191, 0.4482758620689655]]",0.7816625987215339,0.8374384236453202
7,0.2,sigmoid,auto,"[[0.9770992366412214, 0.9793103448275862], [0.9770992366412214, 0.9793103448275862], [0.9701492537313433, 0.9724137931034482], [0.030303030303030307, 0.5586206896551724], [0.9343065693430657, 0.9379310344827586], [0.9516129032258065, 0.9586206896551724], [0.6310679611650485, 0.47586206896551725], [0.6190476190476191, 0.4482758620689655], [0.8843537414965986, 0.8827586206896552], [0.8843537414965986, 0.8827586206896552], [0.8280254777070064, 0.8137931034482758], [0.6170212765957447, 0.7517241379310344], [0.9558823529411764, 0.9586206896551724], [0.9014084507042254, 0.903448275862069], [0.6190476190476191, 0.4482758620689655], [0.15584415584415584, 0.5517241379310345], [0.7602339181286549, 0.7172413793103448], [0.7602339181286549, 0.7172413793103448], [0.680628272251309, 0.5793103448275863], [0.6989247311827956, 0.6137931034482759], [0.787878787878788, 0.7586206896551724], [0.7602339181286549, 0.7172413793103448], [0.0, 0.5517241379310345], [0.4918032786885246, 0.5724137931034483], [0.6842105263157895, 0.5862068965517241], [0.6842105263157895, 0.5862068965517241], [0.6220095693779905, 0.45517241379310347], [0.6220095693779905, 0.45517241379310347], [0.6989247311827956, 0.6137931034482759], [0.6878306878306878, 0.593103448275862], [0.0, 0.5241379310344828], [0.6190476190476191, 0.4482758620689655]]",0.7613357262622946,0.7887931034482758
8,0.4,linear,scale,"[[0.9770992366412214, 0.9793103448275862], [0.9770992366412214, 0.9793103448275862], [0.9701492537313433, 0.9724137931034482], [0.030303030303030307, 0.5586206896551724], [0.9343065693430657, 0.9379310344827586], [0.9516129032258065, 0.9586206896551724], [0.6310679611650485, 0.47586206896551725], [0.6190476190476191, 0.4482758620689655], [0.8843537414965986, 0.8827586206896552], [0.8843537414965986, 0.8827586206896552], [0.8280254777070064, 0.8137931034482758], [0.6170212765957447, 0.7517241379310344], [0.9558823529411764, 0.9586206896551724], [0.9014084507042254, 0.903448275862069], [0.6190476190476191, 0.4482758620689655], [0.15584415584415584, 0.5517241379310345], [0.7602339181286549, 0.7172413793103448], [0.7602339181286549, 0.7172413793103448], [0.680628272251309, 0.5793103448275863], [0.6989247311827956, 0.6137931034482759], [0.787878787878788, 0.7586206896551724], [0.7602339181286549, 0.7172413793103448], [0.0, 0.5517241379310345], [0.4918032786885246, 0.5724137931034483], [0.6842105263157895, 0.5862068965517241], [0.6842105263157895, 0.5862068965517241], [0.6220095693779905, 0.45517241379310347], [0.6220095693779905, 0.45517241379310347], [0.6989247311827956, 0.6137931034482759], [0.6878306878306878, 0.593103448275862], [0.0, 0.5241379310344828], [0.6190476190476191, 0.4482758620689655]]",0.7750043946216617,0.7992337164750958
9,0.4,linear,auto,"[[0.9770992366412214, 0.9793103448275862], [0.9770992366412214, 0.9793103448275862], [0.9701492537313433, 0.9724137931034482], [0.030303030303030307, 0.5586206896551724], [0.9343065693430657, 0.9379310344827586], [0.9516129032258065, 0.9586206896551724], [0.6310679611650485, 0.47586206896551725], [0.6190476190476191, 0.4482758620689655], [0.8843537414965986, 0.8827586206896552], [0.8843537414965986, 0.8827586206896552], [0.8280254777070064, 0.8137931034482758], [0.6170212765957447, 0.7517241379310344], [0.9558823529411764, 0.9586206896551724], [0.9014084507042254, 0.903448275862069], [0.6190476190476191, 0.4482758620689655], [0.15584415584415584, 0.5517241379310345], [0.7602339181286549, 0.7172413793103448], [0.7602339181286549, 0.7172413793103448], [0.680628272251309, 0.5793103448275863], [0.6989247311827956, 0.6137931034482759], [0.787878787878788, 0.7586206896551724], [0.7602339181286549, 0.7172413793103448], [0.0, 0.5517241379310345], [0.4918032786885246, 0.5724137931034483], [0.6842105263157895, 0.5862068965517241], [0.6842105263157895, 0.5862068965517241], [0.6220095693779905, 0.45517241379310347], [0.6220095693779905, 0.45517241379310347], [0.6989247311827956, 0.6137931034482759], [0.6878306878306878, 0.593103448275862], [0.0, 0.5241379310344828], [0.6190476190476191, 0.4482758620689655]]",0.7859393293091553,0.8075862068965517
