,nu,kernel,gamma,metrics,f1_score_avg,accuracy_avg
0,0.2,linear,scale,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.8477611940298507,0.8197879858657244
1,0.2,linear,auto,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.8477611940298507,0.8197879858657244
2,0.2,poly,scale,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.8881268398491969,0.8692579505300353
3,0.2,poly,auto,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.6660951298868977,0.7765017667844523
4,0.2,rbf,scale,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.6709113683931454,0.7342756183745582
5,0.2,rbf,auto,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.5870497962415996,0.7025912838633687
6,0.2,sigmoid,scale,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.5031855396356567,0.6733972741039879
7,0.2,sigmoid,auto,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.44028734718119966,0.6515017667844523
8,0.4,linear,scale,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.49848083938089055,0.6862976050255202
9,0.4,linear,auto,"[[0.8477611940298507, 0.8197879858657244], [0.8477611940298507, 0.8197879858657244], [0.9688581314878894, 0.9681978798586572], [0.0, 0.49823321554770317], [0.690176322418136, 0.5653710247349824], [0.16774193548387095, 0.5441696113074205], [0.0, 0.49823321554770317], [0.0, 0.49823321554770317], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.9640287769784172, 0.9646643109540636], [0.0, 0.49823321554770317], [0.39344262295081966, 0.607773851590106], [0.2994011976047904, 0.5865724381625441], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.9616724738675958, 0.9611307420494699], [0.9616724738675958, 0.9611307420494699], [0.9562043795620437, 0.9575971731448764], [0.668235294117647, 0.5017667844522968], [0.3913043478260869, 0.6042402826855123], [0.6728971962616822, 0.7526501766784452], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317], [0.8863636363636364, 0.8939929328621908], [0.8863636363636364, 0.8939929328621908], [0.9562043795620437, 0.9575971731448764], [0.5177664974619289, 0.6643109540636042], [0.5847176079734219, 0.558303886925795], [0.684931506849315, 0.7561837455830389], [0.668235294117647, 0.5017667844522968], [0.0, 0.49823321554770317]]",0.5450356331406432,0.7141342756183745
