,nu,kernel,gamma,metrics,f1_score_avg,accuracy_avg
0,0.2,linear,scale,"[[0.9319371727748692, 0.9362745098039216], [0.9319371727748692, 0.9362745098039216], [0.49253731343283574, 0.3333333333333333], [0.0, 0.5490196078431373], [0.6990291262135923, 0.696078431372549], [0.7679324894514769, 0.7303921568627451], [0.3043478260869565, 0.5294117647058824], [0.058823529411764705, 0.5294117647058824], [0.9435897435897436, 0.946078431372549], [0.9435897435897436, 0.946078431372549], [0.892156862745098, 0.8921568627450981], [0.5934065934065934, 0.6372549019607843], [0.9462365591397849, 0.9509803921568627], [0.8953488372093024, 0.9117647058823529], [0.29411764705882354, 0.5294117647058824], [0.11214953271028037, 0.5343137254901961], [0.8363636363636363, 0.8235294117647058], [0.8363636363636363, 0.8235294117647058], [0.7049808429118773, 0.6225490196078431], [0.6666666666666666, 0.5490196078431373], [0.9180327868852459, 0.9264705882352942], [0.8768472906403941, 0.8774509803921569], [0.3021582733812949, 0.5245098039215687], [0.6120996441281139, 0.46568627450980393], [0.7049808429118773, 0.6225490196078431], [0.7049808429118773, 0.6225490196078431], [0.6366782006920415, 0.4852941176470588], [0.6411149825783972, 0.4950980392156863], [0.7309236947791165, 0.6715686274509803], [0.7131782945736435, 0.6372549019607843], [0.3, 0.5196078431372549], [0.05940594059405941, 0.5343137254901961]]",0.9319371727748692,0.9362745098039216
1,0.2,linear,auto,"[[0.9319371727748692, 0.9362745098039216], [0.9319371727748692, 0.9362745098039216], [0.49253731343283574, 0.3333333333333333], [0.0, 0.5490196078431373], [0.6990291262135923, 0.696078431372549], [0.7679324894514769, 0.7303921568627451], [0.3043478260869565, 0.5294117647058824], [0.058823529411764705, 0.5294117647058824], [0.9435897435897436, 0.946078431372549], [0.9435897435897436, 0.946078431372549], [0.892156862745098, 0.8921568627450981], [0.5934065934065934, 0.6372549019607843], [0.9462365591397849, 0.9509803921568627], [0.8953488372093024, 0.9117647058823529], [0.29411764705882354, 0.5294117647058824], [0.11214953271028037, 0.5343137254901961], [0.8363636363636363, 0.8235294117647058], [0.8363636363636363, 0.8235294117647058], [0.7049808429118773, 0.6225490196078431], [0.6666666666666666, 0.5490196078431373], [0.9180327868852459, 0.9264705882352942], [0.8768472906403941, 0.8774509803921569], [0.3021582733812949, 0.5245098039215687], [0.6120996441281139, 0.46568627450980393], [0.7049808429118773, 0.6225490196078431], [0.7049808429118773, 0.6225490196078431], [0.6366782006920415, 0.4852941176470588], [0.6411149825783972, 0.4950980392156863], [0.7309236947791165, 0.6715686274509803], [0.7131782945736435, 0.6372549019607843], [0.3, 0.5196078431372549], [0.05940594059405941, 0.5343137254901961]]",0.9319371727748692,0.9362745098039216
2,0.2,poly,scale,"[[0.9319371727748692, 0.9362745098039216], [0.9319371727748692, 0.9362745098039216], [0.49253731343283574, 0.3333333333333333], [0.0, 0.5490196078431373], [0.6990291262135923, 0.696078431372549], [0.7679324894514769, 0.7303921568627451], [0.3043478260869565, 0.5294117647058824], [0.058823529411764705, 0.5294117647058824], [0.9435897435897436, 0.946078431372549], [0.9435897435897436, 0.946078431372549], [0.892156862745098, 0.8921568627450981], [0.5934065934065934, 0.6372549019607843], [0.9462365591397849, 0.9509803921568627], [0.8953488372093024, 0.9117647058823529], [0.29411764705882354, 0.5294117647058824], [0.11214953271028037, 0.5343137254901961], [0.8363636363636363, 0.8235294117647058], [0.8363636363636363, 0.8235294117647058], [0.7049808429118773, 0.6225490196078431], [0.6666666666666666, 0.5490196078431373], [0.9180327868852459, 0.9264705882352942], [0.8768472906403941, 0.8774509803921569], [0.3021582733812949, 0.5245098039215687], [0.6120996441281139, 0.46568627450980393], [0.7049808429118773, 0.6225490196078431], [0.7049808429118773, 0.6225490196078431], [0.6366782006920415, 0.4852941176470588], [0.6411149825783972, 0.4950980392156863], [0.7309236947791165, 0.6715686274509803], [0.7131782945736435, 0.6372549019607843], [0.3, 0.5196078431372549], [0.05940594059405941, 0.5343137254901961]]",0.7854705529941914,0.7352941176470589
3,0.2,poly,auto,"[[0.9319371727748692, 0.9362745098039216], [0.9319371727748692, 0.9362745098039216], [0.49253731343283574, 0.3333333333333333], [0.0, 0.5490196078431373], [0.6990291262135923, 0.696078431372549], [0.7679324894514769, 0.7303921568627451], [0.3043478260869565, 0.5294117647058824], [0.058823529411764705, 0.5294117647058824], [0.9435897435897436, 0.946078431372549], [0.9435897435897436, 0.946078431372549], [0.892156862745098, 0.8921568627450981], [0.5934065934065934, 0.6372549019607843], [0.9462365591397849, 0.9509803921568627], [0.8953488372093024, 0.9117647058823529], [0.29411764705882354, 0.5294117647058824], [0.11214953271028037, 0.5343137254901961], [0.8363636363636363, 0.8235294117647058], [0.8363636363636363, 0.8235294117647058], [0.7049808429118773, 0.6225490196078431], [0.6666666666666666, 0.5490196078431373], [0.9180327868852459, 0.9264705882352942], [0.8768472906403941, 0.8774509803921569], [0.3021582733812949, 0.5245098039215687], [0.6120996441281139, 0.46568627450980393], [0.7049808429118773, 0.6225490196078431], [0.7049808429118773, 0.6225490196078431], [0.6366782006920415, 0.4852941176470588], [0.6411149825783972, 0.4950980392156863], [0.7309236947791165, 0.6715686274509803], [0.7131782945736435, 0.6372549019607843], [0.3, 0.5196078431372549], [0.05940594059405941, 0.5343137254901961]]",0.5891029147456436,0.6887254901960784
4,0.2,rbf,scale,"[[0.9319371727748692, 0.9362745098039216], [0.9319371727748692, 0.9362745098039216], [0.49253731343283574, 0.3333333333333333], [0.0, 0.5490196078431373], [0.6990291262135923, 0.696078431372549], [0.7679324894514769, 0.7303921568627451], [0.3043478260869565, 0.5294117647058824], [0.058823529411764705, 0.5294117647058824], [0.9435897435897436, 0.946078431372549], [0.9435897435897436, 0.946078431372549], [0.892156862745098, 0.8921568627450981], [0.5934065934065934, 0.6372549019607843], [0.9462365591397849, 0.9509803921568627], [0.8953488372093024, 0.9117647058823529], [0.29411764705882354, 0.5294117647058824], [0.11214953271028037, 0.5343137254901961], [0.8363636363636363, 0.8235294117647058], [0.8363636363636363, 0.8235294117647058], [0.7049808429118773, 0.6225490196078431], [0.6666666666666666, 0.5490196078431373], [0.9180327868852459, 0.9264705882352942], [0.8768472906403941, 0.8774509803921569], [0.3021582733812949, 0.5245098039215687], [0.6120996441281139, 0.46568627450980393], [0.7049808429118773, 0.6225490196078431], [0.7049808429118773, 0.6225490196078431], [0.6366782006920415, 0.4852941176470588], [0.6411149825783972, 0.4950980392156863], [0.7309236947791165, 0.6715686274509803], [0.7131782945736435, 0.6372549019607843], [0.3, 0.5196078431372549], [0.05940594059405941, 0.5343137254901961]]",0.6110881570392334,0.6901960784313725
5,0.2,rbf,auto,"[[0.9319371727748692, 0.9362745098039216], [0.9319371727748692, 0.9362745098039216], [0.49253731343283574, 0.3333333333333333], [0.0, 0.5490196078431373], [0.6990291262135923, 0.696078431372549], [0.7679324894514769, 0.7303921568627451], [0.3043478260869565, 0.5294117647058824], [0.058823529411764705, 0.5294117647058824], [0.9435897435897436, 0.946078431372549], [0.9435897435897436, 0.946078431372549], [0.892156862745098, 0.8921568627450981], [0.5934065934065934, 0.6372549019607843], [0.9462365591397849, 0.9509803921568627], [0.8953488372093024, 0.9117647058823529], [0.29411764705882354, 0.5294117647058824], [0.11214953271028037, 0.5343137254901961], [0.8363636363636363, 0.8235294117647058], [0.8363636363636363, 0.8235294117647058], [0.7049808429118773, 0.6225490196078431], [0.6666666666666666, 0.5490196078431373], [0.9180327868852459, 0.9264705882352942], [0.8768472906403941, 0.8774509803921569], [0.3021582733812949, 0.5245098039215687], [0.6120996441281139, 0.46568627450980393], [0.7049808429118773, 0.6225490196078431], [0.7049808429118773, 0.6225490196078431], [0.6366782006920415, 0.4852941176470588], [0.6411149825783972, 0.4950980392156863], [0.7309236947791165, 0.6715686274509803], [0.7131782945736435, 0.6372549019607843], [0.3, 0.5196078431372549], [0.05940594059405941, 0.5343137254901961]]",0.6372288791079406,0.6968954248366014
6,0.2,sigmoid,scale,"[[0.9319371727748692, 0.9362745098039216], [0.9319371727748692, 0.9362745098039216], [0.49253731343283574, 0.3333333333333333], [0.0, 0.5490196078431373], [0.6990291262135923, 0.696078431372549], [0.7679324894514769, 0.7303921568627451], [0.3043478260869565, 0.5294117647058824], [0.058823529411764705, 0.5294117647058824], [0.9435897435897436, 0.946078431372549], [0.9435897435897436, 0.946078431372549], [0.892156862745098, 0.8921568627450981], [0.5934065934065934, 0.6372549019607843], [0.9462365591397849, 0.9509803921568627], [0.8953488372093024, 0.9117647058823529], [0.29411764705882354, 0.5294117647058824], [0.11214953271028037, 0.5343137254901961], [0.8363636363636363, 0.8235294117647058], [0.8363636363636363, 0.8235294117647058], [0.7049808429118773, 0.6225490196078431], [0.6666666666666666, 0.5490196078431373], [0.9180327868852459, 0.9264705882352942], [0.8768472906403941, 0.8774509803921569], [0.3021582733812949, 0.5245098039215687], [0.6120996441281139, 0.46568627450980393], [0.7049808429118773, 0.6225490196078431], [0.7049808429118773, 0.6225490196078431], [0.6366782006920415, 0.4852941176470588], [0.6411149825783972, 0.4950980392156863], [0.7309236947791165, 0.6715686274509803], [0.7131782945736435, 0.6372549019607843], [0.3, 0.5196078431372549], [0.05940594059405941, 0.5343137254901961]]",0.5896744429620856,0.6729691876750701
7,0.2,sigmoid,auto,"[[0.9319371727748692, 0.9362745098039216], [0.9319371727748692, 0.9362745098039216], [0.49253731343283574, 0.3333333333333333], [0.0, 0.5490196078431373], [0.6990291262135923, 0.696078431372549], [0.7679324894514769, 0.7303921568627451], [0.3043478260869565, 0.5294117647058824], [0.058823529411764705, 0.5294117647058824], [0.9435897435897436, 0.946078431372549], [0.9435897435897436, 0.946078431372549], [0.892156862745098, 0.8921568627450981], [0.5934065934065934, 0.6372549019607843], [0.9462365591397849, 0.9509803921568627], [0.8953488372093024, 0.9117647058823529], [0.29411764705882354, 0.5294117647058824], [0.11214953271028037, 0.5343137254901961], [0.8363636363636363, 0.8235294117647058], [0.8363636363636363, 0.8235294117647058], [0.7049808429118773, 0.6225490196078431], [0.6666666666666666, 0.5490196078431373], [0.9180327868852459, 0.9264705882352942], [0.8768472906403941, 0.8774509803921569], [0.3021582733812949, 0.5245098039215687], [0.6120996441281139, 0.46568627450980393], [0.7049808429118773, 0.6225490196078431], [0.7049808429118773, 0.6225490196078431], [0.6366782006920415, 0.4852941176470588], [0.6411149825783972, 0.4950980392156863], [0.7309236947791165, 0.6715686274509803], [0.7131782945736435, 0.6372549019607843], [0.3, 0.5196078431372549], [0.05940594059405941, 0.5343137254901961]]",0.5233180787682955,0.6550245098039216
8,0.4,linear,scale,"[[0.9319371727748692, 0.9362745098039216], [0.9319371727748692, 0.9362745098039216], [0.49253731343283574, 0.3333333333333333], [0.0, 0.5490196078431373], [0.6990291262135923, 0.696078431372549], [0.7679324894514769, 0.7303921568627451], [0.3043478260869565, 0.5294117647058824], [0.058823529411764705, 0.5294117647058824], [0.9435897435897436, 0.946078431372549], [0.9435897435897436, 0.946078431372549], [0.892156862745098, 0.8921568627450981], [0.5934065934065934, 0.6372549019607843], [0.9462365591397849, 0.9509803921568627], [0.8953488372093024, 0.9117647058823529], [0.29411764705882354, 0.5294117647058824], [0.11214953271028037, 0.5343137254901961], [0.8363636363636363, 0.8235294117647058], [0.8363636363636363, 0.8235294117647058], [0.7049808429118773, 0.6225490196078431], [0.6666666666666666, 0.5490196078431373], [0.9180327868852459, 0.9264705882352942], [0.8768472906403941, 0.8774509803921569], [0.3021582733812949, 0.5245098039215687], [0.6120996441281139, 0.46568627450980393], [0.7049808429118773, 0.6225490196078431], [0.7049808429118773, 0.6225490196078431], [0.6366782006920415, 0.4852941176470588], [0.6411149825783972, 0.4950980392156863], [0.7309236947791165, 0.6715686274509803], [0.7131782945736435, 0.6372549019607843], [0.3, 0.5196078431372549], [0.05940594059405941, 0.5343137254901961]]",0.5700149304151231,0.687363834422658
9,0.4,linear,auto,"[[0.9319371727748692, 0.9362745098039216], [0.9319371727748692, 0.9362745098039216], [0.49253731343283574, 0.3333333333333333], [0.0, 0.5490196078431373], [0.6990291262135923, 0.696078431372549], [0.7679324894514769, 0.7303921568627451], [0.3043478260869565, 0.5294117647058824], [0.058823529411764705, 0.5294117647058824], [0.9435897435897436, 0.946078431372549], [0.9435897435897436, 0.946078431372549], [0.892156862745098, 0.8921568627450981], [0.5934065934065934, 0.6372549019607843], [0.9462365591397849, 0.9509803921568627], [0.8953488372093024, 0.9117647058823529], [0.29411764705882354, 0.5294117647058824], [0.11214953271028037, 0.5343137254901961], [0.8363636363636363, 0.8235294117647058], [0.8363636363636363, 0.8235294117647058], [0.7049808429118773, 0.6225490196078431], [0.6666666666666666, 0.5490196078431373], [0.9180327868852459, 0.9264705882352942], [0.8768472906403941, 0.8774509803921569], [0.3021582733812949, 0.5245098039215687], [0.6120996441281139, 0.46568627450980393], [0.7049808429118773, 0.6225490196078431], [0.7049808429118773, 0.6225490196078431], [0.6366782006920415, 0.4852941176470588], [0.6411149825783972, 0.4950980392156863], [0.7309236947791165, 0.6715686274509803], [0.7131782945736435, 0.6372549019607843], [0.3, 0.5196078431372549], [0.05940594059405941, 0.5343137254901961]]",0.6073724117325852,0.7132352941176471
