,nu,kernel,gamma,metrics,f1_score_avg,accuracy_avg
0,0.2,linear,scale,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8996282527881041,0.9021739130434783
1,0.2,linear,auto,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8996282527881041,0.9021739130434783
2,0.2,poly,scale,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8912848587719194,0.8876811594202899
3,0.2,poly,auto,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8969404652709925,0.8922101449275363
4,0.2,rbf,scale,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8974780227744148,0.8942028985507247
5,0.2,rbf,auto,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8459375679982868,0.861111111111111
6,0.2,sigmoid,scale,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8216977715422109,0.8110766045548654
7,0.2,sigmoid,auto,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8289539045298143,0.817481884057971
8,0.4,linear,scale,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8410624745245859,0.8305152979066022
9,0.4,linear,auto,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8507493305204031,0.8409420289855072
10,0.4,poly,scale,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8586749399715263,0.8494729907773386
11,0.4,poly,auto,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8019806907276147,0.8230676328502415
12,0.4,rbf,scale,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8124052529793366,0.8316610925306578
13,0.4,rbf,auto,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8206661316205865,0.8385093167701864
14,0.4,sigmoid,scale,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8085476487718067,0.8178743961352658
15,0.4,sigmoid,auto,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8128241462756193,0.8204257246376812
16,0.6,linear,scale,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8124766333484045,0.8167092924126171
17,0.6,linear,auto,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8121677329686581,0.8134057971014492
18,0.6,poly,scale,"[[0.8996282527881041, 0.9021739130434783], [0.8996282527881041, 0.9021739130434783], [0.8745980707395499, 0.8586956521739131], [0.9139072847682118, 0.9057971014492754], [0.8996282527881041, 0.9021739130434783], [0.5882352941176471, 0.6956521739130435], [0.6762589928057554, 0.5108695652173914], [0.879746835443038, 0.8623188405797102], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.9379310344827586, 0.9347826086956522], [0.17834394904458598, 0.532608695652174], [0.9375000000000001, 0.9347826086956522], [0.9280575539568345, 0.927536231884058], [0.638888888888889, 0.5289855072463768], [0.8769716088328076, 0.8586956521739131], [0.8069164265129682, 0.7572463768115942], [0.8069164265129682, 0.7572463768115942], [0.7777777777777778, 0.7101449275362319], [0.7286821705426356, 0.6195652173913043], [0.8363636363636363, 0.8043478260869565], [0.8389057750759878, 0.8079710144927537], [0.26262626262626265, 0.47101449275362317], [0.7268041237113402, 0.6159420289855072], [0.7014925373134328, 0.5652173913043478], [0.7014925373134328, 0.5652173913043478], [0.6962962962962962, 0.5543478260869565], [0.6928746928746928, 0.5471014492753623], [0.7032418952618454, 0.5688405797101449], [0.7014925373134328, 0.5652173913043478], [0.0, 0.4891304347826087], [0.7014925373134328, 0.5652173913043478]]",0.8103577353270328,0.8079710144927535
