,nu,kernel,gamma,metrics,f1_score_avg,accuracy_avg
0,0.2,linear,scale,"[[0.7405660377358491, 0.65625], [0.7405660377358491, 0.65625], [0.852233676975945, 0.865625], [0.6811279826464208, 0.540625], [0.6561264822134387, 0.728125], [0.26881720430107525, 0.575], [0.2511627906976744, 0.496875], [0.7451923076923077, 0.66875], [0.7044534412955465, 0.771875], [0.7044534412955465, 0.771875], [0.6147186147186147, 0.721875], [0.26881720430107525, 0.575], [0.6468085106382978, 0.740625], [0.6610878661087867, 0.746875], [0.38661710037174724, 0.484375], [0.8260869565217392, 0.8], [0.4953271028037383, 0.6625], [0.4953271028037383, 0.6625], [0.3756345177664975, 0.615625], [0.32291666666666663, 0.59375], [0.29946524064171126, 0.590625], [0.34871794871794876, 0.603125], [0.5912596401028277, 0.503125], [0.8553846153846154, 0.853125], [0.37185929648241206, 0.609375], [0.37185929648241206, 0.609375], [0.25806451612903225, 0.56875], [0.2857142857142857, 0.578125], [0.26086956521739135, 0.575], [0.2765957446808511, 0.575], [0.6172248803827752, 0.5], [0.37185929648241206, 0.609375]]",0.7405660377358491,0.65625
1,0.2,linear,auto,"[[0.7405660377358491, 0.65625], [0.7405660377358491, 0.65625], [0.852233676975945, 0.865625], [0.6811279826464208, 0.540625], [0.6561264822134387, 0.728125], [0.26881720430107525, 0.575], [0.2511627906976744, 0.496875], [0.7451923076923077, 0.66875], [0.7044534412955465, 0.771875], [0.7044534412955465, 0.771875], [0.6147186147186147, 0.721875], [0.26881720430107525, 0.575], [0.6468085106382978, 0.740625], [0.6610878661087867, 0.746875], [0.38661710037174724, 0.484375], [0.8260869565217392, 0.8], [0.4953271028037383, 0.6625], [0.4953271028037383, 0.6625], [0.3756345177664975, 0.615625], [0.32291666666666663, 0.59375], [0.29946524064171126, 0.590625], [0.34871794871794876, 0.603125], [0.5912596401028277, 0.503125], [0.8553846153846154, 0.853125], [0.37185929648241206, 0.609375], [0.37185929648241206, 0.609375], [0.25806451612903225, 0.56875], [0.2857142857142857, 0.578125], [0.26086956521739135, 0.575], [0.2765957446808511, 0.575], [0.6172248803827752, 0.5], [0.37185929648241206, 0.609375]]",0.7405660377358491,0.65625
2,0.2,poly,scale,"[[0.7405660377358491, 0.65625], [0.7405660377358491, 0.65625], [0.852233676975945, 0.865625], [0.6811279826464208, 0.540625], [0.6561264822134387, 0.728125], [0.26881720430107525, 0.575], [0.2511627906976744, 0.496875], [0.7451923076923077, 0.66875], [0.7044534412955465, 0.771875], [0.7044534412955465, 0.771875], [0.6147186147186147, 0.721875], [0.26881720430107525, 0.575], [0.6468085106382978, 0.740625], [0.6610878661087867, 0.746875], [0.38661710037174724, 0.484375], [0.8260869565217392, 0.8], [0.4953271028037383, 0.6625], [0.4953271028037383, 0.6625], [0.3756345177664975, 0.615625], [0.32291666666666663, 0.59375], [0.29946524064171126, 0.590625], [0.34871794871794876, 0.603125], [0.5912596401028277, 0.503125], [0.8553846153846154, 0.853125], [0.37185929648241206, 0.609375], [0.37185929648241206, 0.609375], [0.25806451612903225, 0.56875], [0.2857142857142857, 0.578125], [0.26086956521739135, 0.575], [0.2765957446808511, 0.575], [0.6172248803827752, 0.5], [0.37185929648241206, 0.609375]]",0.7777885841492144,0.7260416666666667
3,0.2,poly,auto,"[[0.7405660377358491, 0.65625], [0.7405660377358491, 0.65625], [0.852233676975945, 0.865625], [0.6811279826464208, 0.540625], [0.6561264822134387, 0.728125], [0.26881720430107525, 0.575], [0.2511627906976744, 0.496875], [0.7451923076923077, 0.66875], [0.7044534412955465, 0.771875], [0.7044534412955465, 0.771875], [0.6147186147186147, 0.721875], [0.26881720430107525, 0.575], [0.6468085106382978, 0.740625], [0.6610878661087867, 0.746875], [0.38661710037174724, 0.484375], [0.8260869565217392, 0.8], [0.4953271028037383, 0.6625], [0.4953271028037383, 0.6625], [0.3756345177664975, 0.615625], [0.32291666666666663, 0.59375], [0.29946524064171126, 0.590625], [0.34871794871794876, 0.603125], [0.5912596401028277, 0.503125], [0.8553846153846154, 0.853125], [0.37185929648241206, 0.609375], [0.37185929648241206, 0.609375], [0.25806451612903225, 0.56875], [0.2857142857142857, 0.578125], [0.26086956521739135, 0.575], [0.2765957446808511, 0.575], [0.6172248803827752, 0.5], [0.37185929648241206, 0.609375]]",0.7536234337735159,0.6796875
4,0.2,rbf,scale,"[[0.7405660377358491, 0.65625], [0.7405660377358491, 0.65625], [0.852233676975945, 0.865625], [0.6811279826464208, 0.540625], [0.6561264822134387, 0.728125], [0.26881720430107525, 0.575], [0.2511627906976744, 0.496875], [0.7451923076923077, 0.66875], [0.7044534412955465, 0.771875], [0.7044534412955465, 0.771875], [0.6147186147186147, 0.721875], [0.26881720430107525, 0.575], [0.6468085106382978, 0.740625], [0.6610878661087867, 0.746875], [0.38661710037174724, 0.484375], [0.8260869565217392, 0.8], [0.4953271028037383, 0.6625], [0.4953271028037383, 0.6625], [0.3756345177664975, 0.615625], [0.32291666666666663, 0.59375], [0.29946524064171126, 0.590625], [0.34871794871794876, 0.603125], [0.5912596401028277, 0.503125], [0.8553846153846154, 0.853125], [0.37185929648241206, 0.609375], [0.37185929648241206, 0.609375], [0.25806451612903225, 0.56875], [0.2857142857142857, 0.578125], [0.26086956521739135, 0.575], [0.2765957446808511, 0.575], [0.6172248803827752, 0.5], [0.37185929648241206, 0.609375]]",0.7341240434615004,0.689375
5,0.2,rbf,auto,"[[0.7405660377358491, 0.65625], [0.7405660377358491, 0.65625], [0.852233676975945, 0.865625], [0.6811279826464208, 0.540625], [0.6561264822134387, 0.728125], [0.26881720430107525, 0.575], [0.2511627906976744, 0.496875], [0.7451923076923077, 0.66875], [0.7044534412955465, 0.771875], [0.7044534412955465, 0.771875], [0.6147186147186147, 0.721875], [0.26881720430107525, 0.575], [0.6468085106382978, 0.740625], [0.6610878661087867, 0.746875], [0.38661710037174724, 0.484375], [0.8260869565217392, 0.8], [0.4953271028037383, 0.6625], [0.4953271028037383, 0.6625], [0.3756345177664975, 0.615625], [0.32291666666666663, 0.59375], [0.29946524064171126, 0.590625], [0.34871794871794876, 0.603125], [0.5912596401028277, 0.503125], [0.8553846153846154, 0.853125], [0.37185929648241206, 0.609375], [0.37185929648241206, 0.609375], [0.25806451612903225, 0.56875], [0.2857142857142857, 0.578125], [0.26086956521739135, 0.575], [0.2765957446808511, 0.575], [0.6172248803827752, 0.5], [0.37185929648241206, 0.609375]]",0.6565729036014295,0.6703125
6,0.2,sigmoid,scale,"[[0.7405660377358491, 0.65625], [0.7405660377358491, 0.65625], [0.852233676975945, 0.865625], [0.6811279826464208, 0.540625], [0.6561264822134387, 0.728125], [0.26881720430107525, 0.575], [0.2511627906976744, 0.496875], [0.7451923076923077, 0.66875], [0.7044534412955465, 0.771875], [0.7044534412955465, 0.771875], [0.6147186147186147, 0.721875], [0.26881720430107525, 0.575], [0.6468085106382978, 0.740625], [0.6610878661087867, 0.746875], [0.38661710037174724, 0.484375], [0.8260869565217392, 0.8], [0.4953271028037383, 0.6625], [0.4953271028037383, 0.6625], [0.3756345177664975, 0.615625], [0.32291666666666663, 0.59375], [0.29946524064171126, 0.590625], [0.34871794871794876, 0.603125], [0.5912596401028277, 0.503125], [0.8553846153846154, 0.853125], [0.37185929648241206, 0.609375], [0.37185929648241206, 0.609375], [0.25806451612903225, 0.56875], [0.2857142857142857, 0.578125], [0.26086956521739135, 0.575], [0.2765957446808511, 0.575], [0.6172248803827752, 0.5], [0.37185929648241206, 0.609375]]",0.5986571731866074,0.6455357142857142
7,0.2,sigmoid,auto,"[[0.7405660377358491, 0.65625], [0.7405660377358491, 0.65625], [0.852233676975945, 0.865625], [0.6811279826464208, 0.540625], [0.6561264822134387, 0.728125], [0.26881720430107525, 0.575], [0.2511627906976744, 0.496875], [0.7451923076923077, 0.66875], [0.7044534412955465, 0.771875], [0.7044534412955465, 0.771875], [0.6147186147186147, 0.721875], [0.26881720430107525, 0.575], [0.6468085106382978, 0.740625], [0.6610878661087867, 0.746875], [0.38661710037174724, 0.484375], [0.8260869565217392, 0.8], [0.4953271028037383, 0.6625], [0.4953271028037383, 0.6625], [0.3756345177664975, 0.615625], [0.32291666666666663, 0.59375], [0.29946524064171126, 0.590625], [0.34871794871794876, 0.603125], [0.5912596401028277, 0.503125], [0.8553846153846154, 0.853125], [0.37185929648241206, 0.609375], [0.37185929648241206, 0.609375], [0.25806451612903225, 0.56875], [0.2857142857142857, 0.578125], [0.26086956521739135, 0.575], [0.2765957446808511, 0.575], [0.6172248803827752, 0.5], [0.37185929648241206, 0.609375]]",0.6169740649998199,0.6484375
8,0.4,linear,scale,"[[0.7405660377358491, 0.65625], [0.7405660377358491, 0.65625], [0.852233676975945, 0.865625], [0.6811279826464208, 0.540625], [0.6561264822134387, 0.728125], [0.26881720430107525, 0.575], [0.2511627906976744, 0.496875], [0.7451923076923077, 0.66875], [0.7044534412955465, 0.771875], [0.7044534412955465, 0.771875], [0.6147186147186147, 0.721875], [0.26881720430107525, 0.575], [0.6468085106382978, 0.740625], [0.6610878661087867, 0.746875], [0.38661710037174724, 0.484375], [0.8260869565217392, 0.8], [0.4953271028037383, 0.6625], [0.4953271028037383, 0.6625], [0.3756345177664975, 0.615625], [0.32291666666666663, 0.59375], [0.29946524064171126, 0.590625], [0.34871794871794876, 0.603125], [0.5912596401028277, 0.503125], [0.8553846153846154, 0.853125], [0.37185929648241206, 0.609375], [0.37185929648241206, 0.609375], [0.25806451612903225, 0.56875], [0.2857142857142857, 0.578125], [0.26086956521739135, 0.575], [0.2765957446808511, 0.575], [0.6172248803827752, 0.5], [0.37185929648241206, 0.609375]]",0.6266939956993451,0.6621527777777777
9,0.4,linear,auto,"[[0.7405660377358491, 0.65625], [0.7405660377358491, 0.65625], [0.852233676975945, 0.865625], [0.6811279826464208, 0.540625], [0.6561264822134387, 0.728125], [0.26881720430107525, 0.575], [0.2511627906976744, 0.496875], [0.7451923076923077, 0.66875], [0.7044534412955465, 0.771875], [0.7044534412955465, 0.771875], [0.6147186147186147, 0.721875], [0.26881720430107525, 0.575], [0.6468085106382978, 0.740625], [0.6610878661087867, 0.746875], [0.38661710037174724, 0.484375], [0.8260869565217392, 0.8], [0.4953271028037383, 0.6625], [0.4953271028037383, 0.6625], [0.3756345177664975, 0.615625], [0.32291666666666663, 0.59375], [0.29946524064171126, 0.590625], [0.34871794871794876, 0.603125], [0.5912596401028277, 0.503125], [0.8553846153846154, 0.853125], [0.37185929648241206, 0.609375], [0.37185929648241206, 0.609375], [0.25806451612903225, 0.56875], [0.2857142857142857, 0.578125], [0.26086956521739135, 0.575], [0.2765957446808511, 0.575], [0.6172248803827752, 0.5], [0.37185929648241206, 0.609375]]",0.6344699402589653,0.673125
